row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng,1.593.633.310,454.948.900,2.048.582.210,numeric__1.593.633.310,numeric__454.948.900,numeric__2.048.582.210
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,2.196.215.832,(68.932.500),2.127.283.332,2196215832.0,-68932500.0,2127283332.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,-,1.366.336.857,1.366.336.857,,1366336857.0,1366336857.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,2.885.632.734,(1.995.899.263),889.733.471,2885632734.0,-1995899263.0,889733471.0
Tài sán ngắn hạn khác,Tài sán ngắn hạn khác,Tài sán ngắn hạn khác,190.627.010,(108.843.770),81.783.240,190627010.0,-108843770.0,81783240.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,6.311.592.294,6.311.592.294,,6311592294.0,6311592294.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,5.381.835.672,(4.963.536.441),418.299.231,5381835672.0,-4963536441.0,418299231.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,14.251.121,133.012.372,147.263.493,14251121.0,133012372.0,147263493.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,36.738.150,36.738.150,,36738150.0,36738150.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,1.104.198.517,(49.594.814),1.054.603.703,1104198517.0,-49594814.0,1054603703.0
Tài sán dài hạn khác,Tài sán dài hạn khác,Tài sán dài hạn khác,8.887.880,(8.887.880),-,8887880.0,-8887880.0,
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,176.380.655,(6.607.142),169.773.513,176380655.0,-6607142.0,169773513.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,11.336.584.752,(49.594.814),11.286.989.938,11336584752.0,-49594814.0,11286989938.0
Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,-,6.607.142,6.607.142,,6607142.0,6607142.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,8.622.737,241.133.546,249.756.283,8622737.0,241133546.0,249756283.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,241.133.546,(241.133.546),-,241133546.0,-241133546.0,
Phụ trội hợp nhất công ty con,Phụ trội hợp nhất công ty con,Phụ trội hợp nhất công ty con,(147.024.909),147.024.909,-,-147024909.0,147024909.0,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,2.664.148.426,(147.024.909),2.517.123.517,2664148426.0,-147024909.0,2517123517.0
