row_label_raw,row_label_full,"Tổ chức thu xếp phát hành > Công ty TNHH Chứng khoán ACB (""ACBS"") (i) > BIDV và Công ty TNHH Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam (""BSC"") (ii) > BIDV và BSC (iii) > BIDV và BSC (iv) > Công ty Cổ phần Chứng khoán Phú Gia (""PHUGIASC"") (v) > Công ty Chứng khoán Ngân hàng Việt Nam Thịnh Vương (""VPBS"") (vi) > BIDV và BSC (vii) > BIDV và BSC (viii) > Công ty Cổ phần Chứng khoán FPT (""FPTS"") và ngân hàng TMCP Việt Nam Thịnh Vương (""VPB"") (ix) > Công ty Cổ phần Chứng khoán Euro Capital (x)",Ngày phát hành > Ngày 25 tháng 4 năm 2012 > Ngày 17 tháng 8 năm 2015 > Ngày 9 tháng 7 năm 2013 > Ngày 28 tháng 3 năm 2014 > Ngày 1 tháng 4 năm 2014 > Ngày 28 tháng 11 năm 2014 > Ngày 31 tháng 12 năm 2014 > Ngày 23 tháng 7 năm 2015 > Ngày 27 tháng 8 năm 2015 > Ngày 17 tháng 11 năm 2015,Số tiền > Ngàn VND > 1.760.450.342 > 850.000.000 > 950.000.000 > 1.000.000.000 > 650.000.000 > 1.000.000.000 > 2.150.000.000 > 600.000.000 > 1.700.000.000,Ngày đáo hạn > Từ ngày 16 tháng 3 năm 2016 đến ngày 18 tháng 6 năm 2017 > Ngày 17 tháng 8 năm 2020 > Ngày 9 tháng 7 năm 2016 > Ngày 28 tháng 3 năm 2019 > Ngày 1 tháng 4 năm 2019 > Ngày 28 tháng 11 năm 2017 > Ngày 31 tháng 12 năm 2019 > Ngày 23 tháng 7 năm 2020 > Từ ngày 27 tháng 8 năm 2016 đến ngày 27 tháng 2 năm 2017 > Ngày 17 tháng 12 năm 2018,numeric__Ngày phát hành > Ngày 25 tháng 4 năm 2012 > Ngày 17 tháng 8 năm 2015 > Ngày 9 tháng 7 năm 2013 > Ngày 28 tháng 3 năm 2014 > Ngày 1 tháng 4 năm 2014 > Ngày 28 tháng 11 năm 2014 > Ngày 31 tháng 12 năm 2014 > Ngày 23 tháng 7 năm 2015 > Ngày 27 tháng 8 năm 2015 > Ngày 17 tháng 11 năm 2015,numeric__Số tiền > Ngàn VND > 1.760.450.342 > 850.000.000 > 950.000.000 > 1.000.000.000 > 650.000.000 > 1.000.000.000 > 2.150.000.000 > 600.000.000 > 1.700.000.000,numeric__Ngày đáo hạn > Từ ngày 16 tháng 3 năm 2016 đến ngày 18 tháng 6 năm 2017 > Ngày 17 tháng 8 năm 2020 > Ngày 9 tháng 7 năm 2016 > Ngày 28 tháng 3 năm 2019 > Ngày 1 tháng 4 năm 2019 > Ngày 28 tháng 11 năm 2017 > Ngày 31 tháng 12 năm 2019 > Ngày 23 tháng 7 năm 2020 > Từ ngày 27 tháng 8 năm 2016 đến ngày 27 tháng 2 năm 2017 > Ngày 17 tháng 12 năm 2018
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,,(95.473.085),,,-95473085.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,11.564.977.257,,,11564977257.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Vay dài hạn trái phiếu đến hạn trả,Trong đó: > Vay dài hạn trái phiếu đến hạn trả,Vay dài hạn trái phiếu đến hạn trả,,1.373.860.293,,,1373860293.0,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,,10.191.116.964,,,10191116964.0,
