row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,6.252.482.061,3.055.283.747,6252482061.0,3055283747.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán bò,Trong đó: > Doanh thu bán bò,Doanh thu bán bò,2.541.497.017,-,2541497017.0,
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,1.040.289.682,765.159.377,1040289682.0,765159377.0
Doanh thu từ các sản phẩm ngành đường,Trong đó: > Doanh thu từ các sản phẩm ngành đường,Doanh thu từ các sản phẩm ngành đường,871.366.579,1.042.101.594,871366579.0,1042101594.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,614.231.760,309.979.158,614231760.0,309979158.0
Doanh thu bán bắp,Trong đó: > Doanh thu bán bắp,Doanh thu bán bắp,323.258.716,204.513.672,323258716.0,204513672.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,252.575.175,224.413.140,252575175.0,224413140.0
Doanh thu thanh lý bất động sản đầu tư,Trong đó: > Doanh thu thanh lý bất động sản đầu tư,Doanh thu thanh lý bất động sản đầu tư,214.941.818,-,214941818.0,
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,198.041.907,238.041.606,198041907.0,238041606.0
Doanh thu bán mũ cao su,Trong đó: > Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,196.279.407,226.690.873,196279407.0,226690873.0
Doanh thu bán khoáng sản,Trong đó: > Doanh thu bán khoáng sản,Doanh thu bán khoáng sản,-,44.384.327,,44384327.0
Khoản giảm trừ,Trong đó: > Khoản giảm trừ,Khoản giảm trừ,(35.528),(952.791),-35528.0,-952791.0
Hàng bán trả lại,Trong đó: > Hàng bán trả lại,Hàng bán trả lại,(35.528),(952.791),-35528.0,-952791.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,6.252.446.533,3.054.330.956,6252446533.0,3054330956.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán bò,Trong đó: > Doanh thu bán bò,Doanh thu bán bò,2.541.497.017,-,2541497017.0,
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,1.040.289.682,765.159.377,1040289682.0,765159377.0
Doanh thu từ các sản phẩm ngành đường,Trong đó: > Doanh thu từ các sản phẩm ngành đường,Doanh thu từ các sản phẩm ngành đường,871.366.579,1.042.101.594,871366579.0,1042101594.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,614.196.232,309.290.199,614196232.0,309290199.0
Doanh thu bán bắp,Trong đó: > Doanh thu bán bắp,Doanh thu bán bắp,323.258.716,204.513.672,323258716.0,204513672.0
Doanh thu cung cấp dịch vụ,Trong đó: > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,252.575.175,224.149.308,252575175.0,224149308.0
Doanh thu từ thanh lý bất động sản đầu tư,Trong đó: > Doanh thu từ thanh lý bất động sản đầu tư,Doanh thu từ thanh lý bất động sản đầu tư,214.941.818,-,214941818.0,
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,198.041.907,238.041.606,198041907.0,238041606.0
Doanh thu bán mũ cao su,Trong đó: > Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,196.279.407,226.690.873,196279407.0,226690873.0
Doanh thu bán khoáng sản,Trong đó: > Doanh thu bán khoáng sản,Doanh thu bán khoáng sản,-,44.384.327,,44384327.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,5.127.016.227,2.718.594.813,5127016227.0,2718594813.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,1.125.465.834,336.688.934,1125465834.0,336688934.0
