row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Myanmar > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,Ngân VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Myanmar > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014,numeric__Ngân VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,1.103.418.607,1.941.468.331,-,-,9.444.018,3.054.330.956,1103418607.0,1941468331.0,,,9444018.0,3054330956.0
Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,,,,,,
Tài sản cố định hữu hình,Chi phí hình thành TSCĐ > Tài sản cố định hữu hình,Tài sản cố định hữu hình,220.158.903,1.277.144.973,751.443.104,1.242.001.885,14.417,3.490.763.262,220158903.0,1277144973.0,751443104.0,1242001885.0,14417.0,3490763262.0
Tài sản cố định vô hình,Chi phí hình thành TSCĐ > Tài sản cố định vô hình,Tài sản cố định vô hình,1.081.200,-,-,-,-,1.081.200,1081200.0,,,,,1081200.0
Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,Vào ngày 31 tháng 12 năm 2014,,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,13.000.316.157,13.393.075.799,3.237.651.757,3.062.726.281,127.976.962,32.821.746.956,13000316157.0,13393075799.0,3237651757.0,3062726281.0,127976962.0,32821746956.0
Tiền của Tập đoàn,Các thông tin bộ phận khác > Tiền của Tập đoàn,Tiền của Tập đoàn,,,,,,978.413.817,,,,,,978413817.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,463.677.182,,,,,,463677182.0
Tài sản không phân bổ,Các thông tin bộ phận khác > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,2.220.395.518,,,,,,2220395518.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,,36.484.233.473,,,,,,36484233473.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,3.537.795.775,2.313.976.917,385.591.191,-,15.082.650,6.252.446.533,3537795775.0,2313976917.0,385591191.0,,15082650.0,6252446533.0
Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,,,,,,
Tài sản cố định hữu hình,Chi phí hình thành TSCĐ > Tài sản cố định hữu hình,Tài sản cố định hữu hình,880.724.729,3.862.481.415,589.213.313,2.359.964.154,-,7.692.383.611,880724729.0,3862481415.0,589213313.0,2359964154.0,,7692383611.0
Tài sản cố định vô hình,Chi phí hình thành TSCĐ > Tài sản cố định vô hình,Tài sản cố định vô hình,3.989.985,-,-,-,-,3.989.985,3989985.0,,,,,3989985.0
Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,Vào ngày 31 tháng 12 năm 2015,,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,19.189.917.338,18.373.812.591,7.040.409.698,5.691.387.168,107.598.966,50.403.125.781,19189917338.0,18373812591.0,7040409698.0,5691387168.0,107598966.0,50403125781.0
Tiền của Tập đoàn,Các thông tin bộ phận khác > Tiền của Tập đoàn,Tiền của Tập đoàn,,,,,,967.966.695,,,,,,967966695.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,252.299.640,,,,,,252299640.0
Tài sản không phân bổ,Các thông tin bộ phận khác > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,(2.395.003.438),,,,,,-2395003438.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,,49.228.388.678,,,,,,49228388678.0
