row_label_raw,row_label_full,col_0,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Lãi cho vay các công ty (i),Ngắn hạn > Lãi cho vay các công ty (i),Lãi cho vay các công ty (i),896.888.290,499.560.600,896888290.0,499560600.0
Lãi cho vay nhân viên,Ngắn hạn > Lãi cho vay nhân viên,Lãi cho vay nhân viên,24.799.150,16.203.887,24799150.0,16203887.0
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,216.180.954,134.004.928,216180954.0,134004928.0
Các khoản ký quỹ ngắn hạn,Ngắn hạn > Các khoản ký quỹ ngắn hạn,Các khoản ký quỹ ngắn hạn,1.144.114,56.560.937,1144114.0,56560937.0
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,372.764.311,183.403.119,372764311.0,183403119.0
,,,1.511.776.819,889.733.471,1511776819.0,889733471.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu các bên liên quan (Thuyết minh số 37),Trong đó: > Phải thu các bên liên quan (Thuyết minh số 37),Phải thu các bên liên quan (Thuyết minh số 37),986.928.477,475.920.372,986928477.0,475920372.0
Phải thu các bên khác,Trong đó: > Phải thu các bên khác,Phải thu các bên khác,524.848.342,413.813.099,524848342.0,413813099.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Lãi cho vay các công ty (i),Dải hạn > Lãi cho vay các công ty (i),Lãi cho vay các công ty (i),23.349.092,-,23349092.0,
Các khoản ký quỹ dài hạn,Dải hạn > Các khoản ký quỹ dài hạn,Các khoản ký quỹ dài hạn,18.174.130,8.887.880,18174130.0,8887880.0
Phải thu dài hạn khác,Dải hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,38.372.057,409.411.351,38372057.0,409411351.0
,,,79.895.279,418.299.231,79895279.0,418299231.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,1.591.672.098,1.308.032.702,1591672098.0,1308032702.0
