row_label_raw,row_label_full,Chi phí tài chính,(633.831.539),(23.254.900),(657.086.439),numeric__(633.831.539),numeric__(23.254.900),numeric__(657.086.439)
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,(565.216.215),(23.254.900),(588.471.115),-565216215.0,-23254900.0,-588471115.0
Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,Tổng lợi nhuận trước thuế,1.773.234.478,(23.254.900),1.749.979.578,1773234478.0,-23254900.0,1749979578.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,1.556.016.360,(23.254.900),1.532.761.460,1556016360.0,-23254900.0,1532761460.0
Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,1.474.256.445,(21.253.636),1.453.002.809,1474256445.0,-21253636.0,1453002809.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,81.759.915,(2.001.264),79.758.651,81759915.0,-2001264.0,79758651.0
Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),1.866,(35),1.831,1866.0,-35.0,1831.0
Lãi suy giảm trên cổ phiếu (VND),Lãi suy giảm trên cổ phiếu (VND),Lãi suy giảm trên cổ phiếu (VND),1.811,(33),1.778,1811.0,-33.0,1778.0
