row_label_raw,row_label_full,col_0,Năm nay,Ngân VND > Năm trước,numeric__Năm nay,numeric__Ngân VND > Năm trước
Giá vốn bán bỏ,Giá vốn bán bỏ,Giá vốn bán bỏ,1.798.098.921,-,1798098921.0,
Giá vốn của các hợp đồng xây dựng,Giá vốn của các hợp đồng xây dựng,Giá vốn của các hợp đồng xây dựng,799.970.554,466.180.953,799970554.0,466180953.0
Giá vốn của các sản phẩm ngành đường,Giá vốn của các sản phẩm ngành đường,Giá vốn của các sản phẩm ngành đường,501.695.563,485.395.860,501695563.0,485395860.0
Giá vốn hàng hóa,Giá vốn hàng hóa,Giá vốn hàng hóa,518.873.603,249.111.871,518873603.0,249111871.0
Giá vốn bán bắp,Giá vốn bán bắp,Giá vốn bán bắp,127.610.998,76.393.096,127610998.0,76393096.0
Giá vốn dịch vụ cung cấp,Giá vốn dịch vụ cung cấp,Giá vốn dịch vụ cung cấp,199.771.582,181.103.084,199771582.0,181103084.0
Giá vốn bát động sản đầu tư,Giá vốn bát động sản đầu tư,Giá vốn bát động sản đầu tư,99.095.539,-,99095539.0,
Giá vốn căn hộ,Giá vốn căn hộ,Giá vốn căn hộ,161.652.655,191.417.979,161652655.0,191417979.0
Giá vốn mũ cao su,Giá vốn mũ cao su,Giá vốn mũ cao su,191.251.156,119.433.788,191251156.0,119433788.0
Giá vốn khoáng sản,Giá vốn khoáng sản,Giá vốn khoáng sản,-,58.301.435,,58301435.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.398.020.571,1.827.338.066,4398020571.0,1827338066.0
