row_label_raw,row_label_full,Tên ngân hàng,Số cuối năm > Ngàn VND,Nguyên tệ > USD,Thời hạn thanh toán và ngày đáo hạn,Lãi suất %/năm,"Tài sản thế chấp (Thuyết minh số 5, 10, 12, 13, 14 và 15)",numeric__Số cuối năm > Ngàn VND,numeric__Nguyên tệ > USD,numeric__Thời hạn thanh toán và ngày đáo hạn,numeric__Lãi suất %/năm,"numeric__Tài sản thế chấp (Thuyết minh số 5, 10, 12, 13, 14 và 15)"
"Sacombank, Chi nhánh Trung tâm","Sacombank, Chi nhánh Trung tâm","Sacombank, Chi nhánh Trung tâm","Sacombank, Chi nhánh Trung tâm","Sacombank, Chi nhánh Trung tâm","Sacombank, Chi nhánh Trung tâm","Sacombank, Chi nhánh Trung tâm","Sacombank, Chi nhánh Trung tâm",,,,,
Hợp đồng vay số LD1516900472 ngày 22 tháng 6 năm 2015,"Sacombank, Chi nhánh Trung tâm > Hợp đồng vay số LD1516900472 ngày 22 tháng 6 năm 2015",Hợp đồng vay số LD1516900472 ngày 22 tháng 6 năm 2015,300.000.000,-,Hoàn trả trong vòng 96 tháng kể từ ngày giải ngân đầu tiên (tức ngày 22 tháng 6 năm 2015),"6 tháng đầu: 11%/năm; từ tháng thứ 7: lãi suất tiền gửi 13 tháng cộng 3,5%/năm, điều chỉnh mỗi 3 tháng (2015:11%/năm)",30 triệu cổ phiếu HNG thuộc sở hữu của HAN,300000000.0,,,,
"Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức","Sacombank, Chi nhánh Thủ Đức",,,,,
Hợp đồng tin dụng số LD1333200419 ngày 29 tháng 11 năm 2013,"Sacombank, Chi nhánh Thủ Đức > Hợp đồng tin dụng số LD1333200419 ngày 29 tháng 11 năm 2013",Hợp đồng tin dụng số LD1333200419 ngày 29 tháng 11 năm 2013,250.000.000,-,Hoàn trả trong vòng 66 tháng kể từ ngày giải ngân đầu tiên (tức ngày 6 tháng 12 năm 2013),Lãi suất thả nổi (2015: 12%/năm),"Vườn cao su 1.328,1 ha của Công ty Cổ phần Cao su Trung Nguyên; quyền sử dụng 9.000 m2 đất tại Phường Bình Thuận, Quận Hải Châu, Đà Nẵng, của Công ty Cổ phần Đầu tư Sài Gòn Mê Kông – bên liên quan",250000000.0,,,,
"Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia","Sacombank, Chi nhánh Campuchia",,,,,
Hợp đồng tin dụng số LQ 1335703551 ngày 23 tháng 12 năm 2013,"Sacombank, Chi nhánh Campuchia > Hợp đồng tin dụng số LQ 1335703551 ngày 23 tháng 12 năm 2013",Hợp đồng tin dụng số LQ 1335703551 ngày 23 tháng 12 năm 2013,57.519.750,2.500.000,Hoàn trả trong vòng 60 tháng kể từ ngày giải ngân đầu tiên (tức ngày 23 tháng 12 năm 2013),"Lãi suất huy động USD thời hạn 12 tháng của ngân hàng Sacombank (CPC) + biên độ 3,5%/năm, thay đổi 6 tháng 1 lần (2015: 9%/năm)","Quyền sử dụng đất thuê diện tích 8.825 ha và các công trình đã xây dựng, cùng với các tài sản có trên đất tại Huyện Lum Phát, Tĩnh Ratanakiri (trị giá 7.423.000 USD)",57519750.0,2500000.0,,,
Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,,,,,
Sacombank,Tổng cộng > Sacombank,Sacombank,1.208.568.105,,,,,1208568105.0,,,,
Trong đó: Vay dài hạn đến hạn trả,Tổng cộng > Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,161.016.969,,,,,161016969.0,,,,
