row_label_raw,row_label_full,Tên công ty liên kết,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu (%),Số cuối năm > Giá trị ghi số Ngân VND,Số đầu năm > Tỷ lệ sở hữu (%),Số đầu năm > Giá trị ghi số Ngân VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Giá trị ghi số Ngân VND,numeric__Số đầu năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Giá trị ghi số Ngân VND
Công ty Cổ phần Cao su Bidiphar,Công ty Cổ phần Cao su Bidiphar,Công ty Cổ phần Cao su Bidiphar,Trồng cây cao su,"47,80",244.809.722,"45,22",221.844.260,,47.8,244809722.0,45.22,221844260.0
Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Tư vấn và thiết kế điện,"25,00",7.489.918,"25,00",7.870.422,,25.0,7489918.0,25.0,7870422.0
Công ty cổ phần HAGL Miền Trung (i),Công ty cổ phần HAGL Miền Trung (i),Công ty cổ phần HAGL Miền Trung (i),Xây dựng và kinh doanh,-,-,"42,55",11.850.000,,,,42.55,11850000.0
Công ty Cổ phần Bò sữa Tây Nguyên (ii),Công ty Cổ phần Bò sữa Tây Nguyên (ii),Công ty Cổ phần Bò sữa Tây Nguyên (ii),Chế biến và chăn nuôi gia súc,-,-,"45,00",38.929.500,,,,45.0,38929500.0
Công ty Cổ phần An Đông Mia (iii),Công ty Cổ phần An Đông Mia (iii),Công ty Cổ phần An Đông Mia (iii),Trồng cao su và cọ dầu,-,-,"30,00",183.183.000,,,,30.0,183183000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,252.299.640,,463.677.182,,,252299640.0,,463677182.0
