row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Cho vay ngắn hạn bên liên quan(Thuyết minh số 37),Ngắn hạn > Cho vay ngắn hạn bên liên quan(Thuyết minh số 37),Cho vay ngắn hạn bên liên quan(Thuyết minh số 37),3.581.551.780,687.074.735,3581551780.0,687074735.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)","Trong đó: > Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)","Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)",2.860.085.936,-,2860085936.0,
Nhân viên Tập đoàn (ii),Trong đó: > Nhân viên Tập đoàn (ii),Nhân viên Tập đoàn (ii),109.024.937,92.867.100,109024937.0,92867100.0
Thành viên Hội đồng Quản trị Công ty (iii),Trong đó: > Thành viên Hội đồng Quản trị Công ty (iii),Thành viên Hội đồng Quản trị Công ty (iii),31.098.296,-,31098296.0,
Bên liên quan khác (iv),Trong đó: > Bên liên quan khác (iv),Bên liên quan khác (iv),581.342.611,594.207.635,581342611.0,594207635.0
Cho vay ngắn hạn các bên khác (iv),Trong đó: > Cho vay ngắn hạn các bên khác (iv),Cho vay ngắn hạn các bên khác (iv),118.436.342,679.262.122,118436342.0,679262122.0
,,,3.699.988.122,1.366.336.857,3699988122.0,1366336857.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Cho vay dài hạn bên liên quan(Thuyết minh số 37),Dài hạn > Cho vay dài hạn bên liên quan(Thuyết minh số 37),Cho vay dài hạn bên liên quan(Thuyết minh số 37),5.050.459.374,4.789.375.936,5050459374.0,4789375936.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
"Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)","Trong đó: > Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)","Công ty Cổ phần Đầu tư Bất động sảnAn Phú (""An Phú"") (i)",1.471.708.240,4.087.185.936,1471708240.0,4087185936.0
Nhân viên Tập đoàn (ii),Trong đó: > Nhân viên Tập đoàn (ii),Nhân viên Tập đoàn (ii),294.936.000,-,294936000.0,
Thành viên Hội đồng Quản trị Công ty (iii),Trong đó: > Thành viên Hội đồng Quản trị Công ty (iii),Thành viên Hội đồng Quản trị Công ty (iii),697.320.000,-,697320000.0,
Bên liên quan khác (iv),Trong đó: > Bên liên quan khác (iv),Bên liên quan khác (iv),2.586.495.134,702.190.000,2586495134.0,702190000.0
Cho vay dài hạn các bên khác (iv),Trong đó: > Cho vay dài hạn các bên khác (iv),Cho vay dài hạn các bên khác (iv),843.568.572,1.054.121.740,843568572.0,1054121740.0
Cho vay dài hạn Chính phủ Lào – Dự án sânbay quốc tế Attapeu (v),Trong đó: > Cho vay dài hạn Chính phủ Lào – Dự án sânbay quốc tế Attapeu (v),Cho vay dài hạn Chính phủ Lào – Dự án sânbay quốc tế Attapeu (v),167.980.345,468.094.618,167980345.0,468094618.0
,,,6.062.008.291,6.311.592.294,6062008291.0,6311592294.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,9.761.996.413,7.677.929.151,9761996413.0,7677929151.0
