row_label_raw,row_label_full,col_0,Ngân VND,Ngân VND_1,numeric__Ngân VND,numeric__Ngân VND_1
,,,Năm nay,Năm trước(Trình bày lại –Thuyết minh số 41),,
Số đầu năm,Số đầu năm,Số đầu năm,1.149.582.771,666.358.469,1149582771.0,666358469.0
Mua công ty con,Mua công ty con,Mua công ty con,465.067.390,-,465067390.0,
Lợi nhuận trong năm phân bổ cho,Lợi nhuận trong năm phân bổ cho,Lợi nhuận trong năm phân bổ cho,,,,
cổ đông không kiểm soát,Lợi nhuận trong năm phân bổ cho > cổ đông không kiểm soát,cổ đông không kiểm soát,100.017.738,79.758.651,100017738.0,79758651.0
Thanh lý công ty con,Lợi nhuận trong năm phân bổ cho > Thanh lý công ty con,Thanh lý công ty con,(8.652.537),(26.337.757),-8652537.0,-26337757.0
Tiền trả lại vốn góp cho cổ đông,Tiền trả lại vốn góp cho cổ đông,Tiền trả lại vốn góp cho cổ đông,,,,
không kiểm soát,Tiền trả lại vốn góp cho cổ đông > không kiểm soát,không kiểm soát,(2.200.000),-,-2200000.0,
Cổ tức phải trả cho cổ đông không kiểm soát,Tiền trả lại vốn góp cho cổ đông > Cổ tức phải trả cho cổ đông không kiểm soát,Cổ tức phải trả cho cổ đông không kiểm soát,(602.955),(9.041.163),-602955.0,-9041163.0
Giao dịch vốn trong nội bộ Tập đoàn với,Giao dịch vốn trong nội bộ Tập đoàn với,Giao dịch vốn trong nội bộ Tập đoàn với,,,,
cổ đông không kiểm soát của các công ty con,cổ đông không kiểm soát của các công ty con,cổ đông không kiểm soát của các công ty con,,,,
nhưng không làm thay đổi quyền sở hữu,cổ đông không kiểm soát của các công ty con > nhưng không làm thay đổi quyền sở hữu,nhưng không làm thay đổi quyền sở hữu,265.560.456,438.844.571,265560456.0,438844571.0
Số cuối năm,cổ đông không kiểm soát của các công ty con > Số cuối năm,Số cuối năm,1.968.772.863,1.149.582.771,1968772863.0,1149582771.0
