row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước(Trình bày lại -Thuyết minh số 41),numeric__Năm nay,numeric__Ngân VNDNăm trước(Trình bày lại -Thuyết minh số 41)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,806.212.213,1.749.979.578,806212213.0,1749979578.0
Các khoản điều chỉnh tăng (giảm) lợi nhuận trước thuế,Các khoản điều chỉnh tăng (giảm) lợi nhuận trước thuế,Các khoản điều chỉnh tăng (giảm) lợi nhuận trước thuế,,,,
Điều chính tăng,Điều chính tăng,Điều chính tăng,,,,
Lỗ từ các công ty con,Điều chính tăng > Lỗ từ các công ty con,Lỗ từ các công ty con,393.289.083,221.602.344,393289083.0,221602344.0
Lợi nhuận chưa thực hiện,Điều chính tăng > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,241.817.159,21.077.444,241817159.0,21077444.0
Thay đổi chi phí phải trả,Điều chính tăng > Thay đổi chi phí phải trả,Thay đổi chi phí phải trả,93.834.097,24.722.108,93834097.0,24722108.0
Các chi phí không có chứng từ hợp lệ,Điều chính tăng > Các chi phí không có chứng từ hợp lệ,Các chi phí không có chứng từ hợp lệ,55.649.676,27.096.079,55649676.0,27096079.0
Lợi thế thương mại phân bổ,Điều chính tăng > Lợi thế thương mại phân bổ,Lợi thế thương mại phân bổ,29.056.524,46.233.392,29056524.0,46233392.0
Lỗ từ các công ty liên kết,Điều chính tăng > Lỗ từ các công ty liên kết,Lỗ từ các công ty liên kết,1.898.163,,1898163.0,
Các khoản khác,Điều chính tăng > Các khoản khác,Các khoản khác,14.094.854,11.297.592,14094854.0,11297592.0
Điều chính giảm,Điều chính giảm,Điều chính giảm,,,,
Lợi nhuận của các hoạt động thuộc diện miễn thuế,Điều chính giảm > Lợi nhuận của các hoạt động thuộc diện miễn thuế,Lợi nhuận của các hoạt động thuộc diện miễn thuế,(728.821.481),(757.188.308),-728821481.0,-757188308.0
Chi phí lãi vay đã được khấu trừ khi tính thuế nhưng được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,Điều chính giảm > Chi phí lãi vay đã được khấu trừ khi tính thuế nhưng được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,Chi phí lãi vay đã được khấu trừ khi tính thuế nhưng được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,(182.693.504),(202.261.380),-182693504.0,-202261380.0
Lãi từ việc thanh lý công ty con,Điều chính giảm > Lãi từ việc thanh lý công ty con,Lãi từ việc thanh lý công ty con,(29.925.898),(77.544.144),-29925898.0,-77544144.0
Chênh lệch tỷ giá chưa thực hiện,Điều chính giảm > Chênh lệch tỷ giá chưa thực hiện,Chênh lệch tỷ giá chưa thực hiện,(16.665.539),5.927.125,-16665539.0,5927125.0
Thu nhập cổ tức,Điều chính giảm > Thu nhập cổ tức,Thu nhập cổ tức,(230.425),(245.920),-230425.0,-245920.0
Thu nhập từ phát hành cổ phiếu HAN,Điều chính giảm > Thu nhập từ phát hành cổ phiếu HAN,Thu nhập từ phát hành cổ phiếu HAN,,(745.706.593),,-745706593.0
Các khoản khác,Điều chính giảm > Các khoản khác,Các khoản khác,(3.349.750),(52.156.654),-3349750.0,-52156654.0
Thu nhập chịu thuế ước tính năm hiện hành chưa cần trừ lỗ năm trước,Điều chính giảm > Thu nhập chịu thuế ước tính năm hiện hành chưa cần trừ lỗ năm trước,Thu nhập chịu thuế ước tính năm hiện hành chưa cần trừ lỗ năm trước,674.165.172,272.832.663,674165172.0,272832663.0
Lỗ các năm trước chuyển sang,Điều chính giảm > Lỗ các năm trước chuyển sang,Lỗ các năm trước chuyển sang,(14.063.566),(4.768.425),-14063566.0,-4768425.0
Thu nhập chịu thuế ước tính năm hiện hành sau khi cán trừ lỗ năm trước,Điều chính giảm > Thu nhập chịu thuế ước tính năm hiện hành sau khi cán trừ lỗ năm trước,Thu nhập chịu thuế ước tính năm hiện hành sau khi cán trừ lỗ năm trước,660.101.606,268.064.238,660101606.0,268064238.0
Thuế TNDN ước tính năm hiện hành,Điều chính giảm > Thuế TNDN ước tính năm hiện hành,Thuế TNDN ước tính năm hiện hành,145.222.353,58.706.419,145222353.0,58706419.0
