row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__Ngàn VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp(Thuyết minh số 36.2),Phải thu > Thuế thu nhập doanh nghiệp(Thuyết minh số 36.2),Thuế thu nhập doanh nghiệp(Thuyết minh số 36.2),8.339.275,1.511.873,(8.331.737),1.519.411,8339275.0,1511873.0,-8331737.0,1519411.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,6.569.717,-,(5.850.351),719.366,6569717.0,,-5850351.0,719366.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,14.908.992,1.511.873,(14.182.088),2.238.777,14908992.0,1511873.0,-14182088.0,2238777.0
Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,
Thuế giá trị gia tăng,Phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,252.321.600,388.545.991,(478.628.393),162.239.198,252321600.0,388545991.0,-478628393.0,162239198.0
Thuế thu nhập doanh nghiệp(Thuyết minh số 36.2),Phải trả > Thuế thu nhập doanh nghiệp(Thuyết minh số 36.2),Thuế thu nhập doanh nghiệp(Thuyết minh số 36.2),22.532.903,155.060.849,(109.599.492),67.994.260,22532903.0,155060849.0,-109599492.0,67994260.0
Thuế thu nhập cá nhân,Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.822.157,13.675.640,(9.915.279),6.582.518,2822157.0,13675640.0,-9915279.0,6582518.0
Thuế khác,Phải trả > Thuế khác,Thuế khác,7.045.721,38.557.625,(7.018.446),38.584.900,7045721.0,38557625.0,-7018446.0,38584900.0
TỔNG CỘNG,Phải trả > TỔNG CỘNG,TỔNG CỘNG,284.722.381,595.840.105,(605.161.610),275.400.876,284722381.0,595840105.0,-605161610.0,275400876.0
