row_label_raw,row_label_full,Các bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),Mỗi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),Giao dịch > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),NgànVND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),numeric__Mỗi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),numeric__Giao dịch > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),numeric__NgànVND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo)
Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,Lãi cho vayChi phí trả hộHợp đồng ủy thác,14.548.1787.779.191-,-3.619.69268.932.500,,,,-361969268932500.0
Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty liên quan,Chi phí trả hộ,12.624.059,12.624.059,,,12624059.0,12624059.0
Công ty TNHH TMDV Minh Tuấn,Công ty TNHH TMDV Minh Tuấn,Công ty TNHH TMDV Minh Tuấn,Công ty liên quan,Lãi cho vay,2.492.768,-,,,2492768.0,
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,Lãi cho vay,622.820,-,,,622820.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Chi phí trả hộ,380.531,422.684,,,380531.0,422684.0
Công ty TNHH TM&DV Trúc Thịnh,Công ty TNHH TM&DV Trúc Thịnh,Công ty TNHH TM&DV Trúc Thịnh,Công ty liên quan,Lãi cho vay,-,18.417.533,,,,18417533.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,986.928.477,475.920.372,,,986928477.0,475920372.0
Trong đó: - Lãi cho vay,Trong đó: - Lãi cho vay,Trong đó: - Lãi cho vay,,,824.205.257,304.435.687,,,824205257.0,304435687.0
Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Cho vay,1.991.975.000,500.000.000,,,1991975000.0,500000000.0
