row_label_raw,row_label_full,Các bên liên quan > Phải trả người bán ngắn hạn (Thuyết minh số 21),Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 21),Giao dịch > Phải trả người bán ngắn hạn (Thuyết minh số 21),Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 21),NgànVND Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 21),numeric__Mối quan hệ > Phải trả người bán ngắn hạn (Thuyết minh số 21),numeric__Giao dịch > Phải trả người bán ngắn hạn (Thuyết minh số 21),numeric__Số cuối năm > Phải trả người bán ngắn hạn (Thuyết minh số 21),numeric__NgànVND Số đầu năm > Phải trả người bán ngắn hạn (Thuyết minh số 21)
"Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")","Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")","Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")",Công ty liên quan,Phải trả phát triển vườn cây,(60.549.000),,,,-60549000.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Mua máy móc thiết bị Mua hàng hóa và dịch vụ,(23.204.432),,,,-23204432.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Mua máy móc thiết bị Mua hàng hóa và dịch vụ,(9.136.427),(34.643.637),,,-9136427.0,-34643637.0
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,Phải trả nhà thầu xây dựng,(8.140.692),,,,-8140692.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Mua hàng hóa và dịch vụ,(1.462.695),(868.078),,,-1462695.0,-868078.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Công ty liên quan,Mua hàng hóa,(28.060),(1.210.267),,,-28060.0,-1210267.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,(102.521.306),(36.721.982),,,-102521306.0,-36721982.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 22),Người mua trả tiền trước ngắn hạn (Thuyết minh số 22),Người mua trả tiền trước ngắn hạn (Thuyết minh số 22),Người mua trả tiền trước ngắn hạn (Thuyết minh số 22),Người mua trả tiền trước ngắn hạn (Thuyết minh số 22),Người mua trả tiền trước ngắn hạn (Thuyết minh số 22),Người mua trả tiền trước ngắn hạn (Thuyết minh số 22),,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Người mua trả tiền trước ngắn hạn (Thuyết minh số 22) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Ứng trước hợp đồng xây dựng và mua hàng hóa,(251.804.507),(250.460.000),,,-251804507.0,-250460000.0
Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),,,,
"Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")","Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")","Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")",Công ty liên quan,Cho mượn tạm,(123.120.360),,,,-123120360.0,
Công ty TNHH TMDV Minh Tuấn,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty TNHH TMDV Minh Tuấn,Công ty TNHH TMDV Minh Tuấn,Công ty liên quan,Cho mượn tạm,(6.092.453),(44.266.155),,,-6092453.0,-44266155.0
Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty liên quan,Cho mượn tạm,(2.104.578),(10.365.445),,,-2104578.0,-10365445.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Cho mượn tạm,(20.904),(8.087.330),,,-20904.0,-8087330.0
Công ty Cổ phần Đầu tư Bất động sản An Phú,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,Cho mượn tạm,-,(161.530.543),,,,-161530543.0
Công ty Cổ phần Chăn nuôi Gia Lai,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Cho mượn tạm,-,(10.000.000),,,,-10000000.0
Các bên liên quan khác,Phải trả ngắn hạn khác (Thuyết minh số 25) > Các bên liên quan khác,Các bên liên quan khác,Bên liên quan,Các khoản khác,(832.650),,,,-832650.0,
TỔNG CỘNG,Phải trả ngắn hạn khác (Thuyết minh số 25) > TỔNG CỘNG,TỔNG CỘNG,,,(132.170.945),(234.249.473),,,-132170945.0,-234249473.0
