row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại – Thuyết minh số 41),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại – Thuyết minh số 41)
,,,I. LƯU CHUYẾN TIỀN TỰ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,"Lợi nhuận trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định (""TSCĐ"") hữu hình và bất động sản đầu tư và hao môn TSCĐ vô hình (bao gồm phân bổ lợi thế thương mại)",,806.212.213,1.749.979.578,,,806212213.0,1749979578.0
02,02,02,"Lợi nhuận trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định (""TSCĐ"") hữu hình và bất động sản đầu tư và hao môn TSCĐ vô hình (bao gồm phân bổ lợi thế thương mại)",,372.592.068,334.181.075,,,372592068.0,334181075.0
03,03,03,Các khoản dự phòng,,9.745.286,4.983.141,,,9745286.0,4983141.0
04,04,04,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,(115.305.562),(11.047.343),,,-115305562.0,-11047343.0
05,05,05,Lãi từ hoạt động đầu tư,,(628.376.312),(1.546.509.831),,,-628376312.0,-1546509831.0
06,06,06,Chi phí lãi vay,32,1.078.711.240,604.691.381,,32.0,1078711240.0,604691381.0
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,1.523.578.933,1.136.278.001,,,1523578933.0,1136278001.0
09,09,09,Giảm (tăng) các khoản phải thu,,1.169.669.226,(1.528.393.473),,,1169669226.0,-1528393473.0
10,10,10,Tăng hàng tồn kho,,(1.916.001.996),(229.052.284),,,-1916001996.0,-229052284.0
11,11,11,Tăng các khoản phải trả,,1.699.906.910,848.233.213,,,1699906910.0,848233213.0
12,12,12,Giảm (tăng) chi phí trả trước,,121.084.629,(52.706.791),,,121084629.0,-52706791.0
14,14,14,Tiền lãi vay đã trả,,(932.571.773),(545.854.900),,,-932571773.0,-545854900.0
15,15,15,Thuế thu nhập doanh nghiệp đã nộp,36.2,(109.599.492),(89.958.416),,362.0,-109599492.0,-89958416.0
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(26.760.841),(11.975.587),,,-26760841.0,-11975587.0
20,20,20,Lưu chuyển tiền thuần tử (sử dụng vào) hoạt động kinh doanh,,1.529.305.596,(473.430.237),,,1529305596.0,-473430237.0
,,,II. LƯU CHUYẾN TIỀN TỰ HOẠT ĐỘNG ĐẦU TỰ,,,,,,,
21,21,21,"Tiền chi để mua sắm, xây dựng TSCĐ và tài sản dài hạn khác",,(7.946.189.324),(4.447.438.540),,,-7946189324.0,-4447438540.0
22,22,22,"Tiền thu do thanh lý, nhượng bán TSCĐ và tài sản dài hạn khác",,791.534.557,319.789.280,,,791534557.0,319789280.0
23,23,23,Tiền chi cho các đơn vị khác vay,,(6.581.690.554),(3.610.212.923),,,-6581690554.0,-3610212923.0
24,24,24,Tiền thu hồi cho vay,,4.476.003.816,1.679.373.093,,,4476003816.0,1679373093.0
25,25,25,Tiền chi đầu tư góp vốn vào đơn vị khác (trừ đi tiền thu về),,(2.350.933.815),(474.444.498),,,-2350933815.0,-474444498.0
26,26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác (trừ đi tiền do đơn vị bị thanh lý năm giữ),,866.639.814,264.517.855,,,866639814.0,264517855.0
27,27,27,"Tiền thu lãi cho vay, tiền gửi, cổ tức và lợi nhuận được chia",,411.747.874,460.400.684,,,411747874.0,460400684.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(10.332.887.632),(5.808.015.049),,,-10332887632.0,-5808015049.0
