row_label_raw,row_label_full,Tên ngân hàng,Số cuối nămNgân VND,Nguyên tệUSD,Thời hạn thanh toánvà ngày đáo hạn,Lãi suất%/năm,"Tài sản thế chấp(Thuyết minh số5, 10, 12, 13, 14 và 15)",numeric__Số cuối nămNgân VND,numeric__Nguyên tệUSD,numeric__Thời hạn thanh toánvà ngày đáo hạn,numeric__Lãi suất%/năm,"numeric__Tài sản thế chấp(Thuyết minh số5, 10, 12, 13, 14 và 15)"
"Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng","Sacombank, Chi nhánh Đà Nẵng",,,,,
Hợp đồng vay sốLD1214500238ngày 24 tháng 5năm 2012,"Sacombank, Chi nhánh Đà Nẵng > Hợp đồng vay sốLD1214500238ngày 24 tháng 5năm 2012",Hợp đồng vay sốLD1214500238ngày 24 tháng 5năm 2012,306.250.000,-,Hoàn trả trong vòng 84 thángtính từ ngày giải ngân đầu tiên(tức ngày 24 tháng 5năm 2012),"1,55%/tháng trong 3 tháng đầu,sau đó được điều chỉnh theolãi suất tiền gửi kỳ hạn 13 tháng+ 0,55% (2015: 11% -13%năm)","Toàn bộ diện tích 20.000 m2đất và tài sản gắn liền với đấttại phường Bình Hiền, BìnhThuận, Đà Nẵng",306250000.0,,,,
Hợp đồng tín dụng sốLD1400300153ngày 3 tháng 1năm 2014,"Sacombank, Chi nhánh Đà Nẵng > Hợp đồng tín dụng sốLD1400300153ngày 3 tháng 1năm 2014",Hợp đồng tín dụng sốLD1400300153ngày 3 tháng 1năm 2014,262.454.605,12.420.658,Hoàn trả trong vòng 60 thángkể từ ngày giải ngân đầu tiên(tức ngày 3 tháng 1 năm 2014),"1,125%/tháng trong 3 tháng đầu,sau đó được điều chỉnh 4 lần mốinăm theo lãi suất tiền gửi kỳ hạn13 tháng + 0,3333%/tháng(2015:11,55%-12%/năm)","Toàn bộ diện tích 20.000 m2đất và tài sản gắn liền với đấttại Phường Bình Hiền, BìnhThuận, Đà Nẵng; 16 triệu cổphiếu Công ty của Chủ tịch",262454605.0,12420658.0,,,
Hợp đồng tín dụng số LD0931400065ngày 10 tháng11 năm 2009,"Sacombank, Chi nhánh Đà Nẵng > Hợp đồng tín dụng số LD0931400065ngày 10 tháng11 năm 2009",Hợp đồng tín dụng số LD0931400065ngày 10 tháng11 năm 2009,22.500.000,-,Ngày 19 tháng 1 năm 2016,"0,875%/tháng trong tháng đầu,sau đó được điều chỉnh 1 lần mốitháng theo lãi suất tiền gửi kỳhạn 13 tháng + 0,36%/tháng(2015:12%-13%/năm)",Tín chấp,22500000.0,,,,
Hợp đồng vay số7683 ngày 6tháng 8 năm2007,"Sacombank, Chi nhánh Đà Nẵng > Hợp đồng vay số7683 ngày 6tháng 8 năm2007",Hợp đồng vay số7683 ngày 6tháng 8 năm2007,9.843.750,-,Ngày 24 tháng 3 năm 2016,"1,1%/tháng trong 6 tháng đầu,sau đó được điều chỉnh 2 lần mốinăm theo lãi suất tiền gửi tiếtkiệm kỳ hạn 13 tháng +0,45%/tháng(2015:12,5%-13,64%/năm)",Tín chấp,9843750.0,,,,
