row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng,Giá trị đã ghi nhận,Ngàn VNDGiá trị cam kết còn lại,numeric__Giá trị theo hợp đồng,numeric__Giá trị đã ghi nhận,numeric__Ngàn VNDGiá trị cam kết còn lại
Dự án thủy điện,Dự án thủy điện,Dự án thủy điện,,,,,,
Dự án Năm Kông 2 và Năm Kông 3,Dự án thủy điện > Dự án Năm Kông 2 và Năm Kông 3,Dự án Năm Kông 2 và Năm Kông 3,2.341.884.132,1.664.780.769,677.103.363,2341884132.0,1664780769.0,677103363.0
Dự án bất động sản,Dự án bất động sản,Dự án bất động sản,,,,,,
Dự án Myanmar,Dự án bất động sản > Dự án Myanmar,Dự án Myanmar,444.038.000,443.116.175,921.825,444038000.0,443116175.0,921825.0
TỔNG CỘNG,Dự án bất động sản > TỔNG CỘNG,TỔNG CỘNG,2.785.922.132,2.107.896.944,678.025.188,2785922132.0,2107896944.0,678025188.0
