row_label_raw,row_label_full,Các bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Giao dịch > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Ngân VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Giao dịch > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Ngân VND Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6)
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Bán hàng hóa và cung cấp dịch vụ,251.786.032,21.254.330,,,251786032.0,21254330.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Phải thu hợp đồng xây dựng,24.059.702,21.326,,,24059702.0,21326.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Bán tài sản,383.279,383.279,,,383279.0,383279.0
Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty Cổ phần Hoàng Anh Mê Kông,Công ty liên quan,Cung cấp dịch vụ,1.813.211,1.414.775,,,1813211.0,1414775.0
Công ty TNHH TMDV Minh Tuấn,Công ty TNHH TMDV Minh Tuấn,Công ty TNHH TMDV Minh Tuấn,Công ty liên quan,Cung cấp dịch vụ,1.452.577,8.815.564,,,1452577.0,8815564.0
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,Cung cấp dịch vụ Thanh lý khoản đầu tư,1.302.577,-,,,1302577.0,
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,Cung cấp dịch vụ Thanh lý khoản đầu tư,-,48.091.600,,,,48091600.0
Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty liên kết,Bán hàng hóa và cung cấp dịch vụ,915.102,-,,,915102.0,
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,Bán hàng hóa và cung cấp dịch vụ,250.570,1.178.925,,,250570.0,1178925.0
"Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")","Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")","Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")",Công ty liên quan,Bán hàng và cung cấp dịch vụ,118.125,-,,,118125.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Bán hàng và cung cấp dịch vụ,873.319,1.537.840,,,873319.0,1537840.0
Công ty TNHH TM&DV Trúc Thịnh,Công ty TNHH TM&DV Trúc Thịnh,Công ty TNHH TM&DV Trúc Thịnh,Công ty liên quan,Bán hàng hóa và cung cấp dịch vụ,63.690,11.283.771,,,63690.0,11283771.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,283.018.184,93.981.410,,,283018184.0,93981410.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Trả trước cho người bán ngắn hạn (Thuyết minh số 7),Trả trước cho người bán ngắn hạn (Thuyết minh số 7),,,,
Công ty Cổ phần Chăn nuôi Gia Lai,Trả trước cho người bán ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Ứng trước mua hàng hóa và dịch vụ,467.936.006,14.305.013,,,467936006.0,14305013.0
