row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại -- Thuyết minh số 41),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại -- Thuyết minh số 41)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,30.1,6.252.482.061,3.055.283.747,,301.0,6252482061.0,3055283747.0
02,02,02,2. Các khoản giảm trừ doanh thu,30.1,(35.528),(952.791),,301.0,-35528.0,-952791.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,30.1,6.252.446.533,3.054.330.956,,301.0,6252446533.0,3054330956.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,31,(4.398.020.571),(1.827.338.066),,31.0,-4398020571.0,-1827338066.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.854.425.962,1.226.992.890,,,1854425962.0,1226992890.0
21,21,21,6. Doanh thu hoạt động tài chính,30.2,1.053.656.518,1.477.819.111,,302.0,1053656518.0,1477819111.0
22,22,22,7. Chi phí tài chính,32,(1.203.667.607),(628.138.146),,32.0,-1203667607.0,-628138146.0
23,23,23,- Trong đó: Chi phí lãi vay,,(1.078.711.240),(604.691.381),,,-1078711240.0,-604691381.0
24,24,24,8. Phần lỗ trong công ty liên kết,,(1.898.163),-,,,-1898163.0,
25,25,25,9. Chi phí bán hàng,33,(111.239.060),(82.212.779),,33.0,-111239060.0,-82212779.0
26,26,26,10. Chi phí quản lý doanh nghiệp,34,(350.371.742),(268.906.408),,34.0,-350371742.0,-268906408.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,1.240.905.908,1.725.554.668,,,1240905908.0,1725554668.0
31,31,31,12. Thu nhập khác,35,180.631.718,106.382.214,,35.0,180631718.0,106382214.0
32,32,32,13. Chi phí khác,35,(615.325.413),(81.957.304),,35.0,-615325413.0,-81957304.0
40,40,40,14. (Lỗ) lợi nhuận khác,35,(434.693.695),24.424.910,,35.0,-434693695.0,24424910.0
50,50,50,15. Lợi nhuận kế toán trước thuế,,806.212.213,1.749.979.578,,,806212213.0,1749979578.0
51,51,51,16. Chi phí thuế TNDN hiện hành,36.2,(153.548.976),(67.475.212),,362.0,-153548976.0,-67475212.0
52,52,52,17. Chi phí thuế TNDN hoãn lại,36.3,(50.302.292),(149.742.906),,363.0,-50302292.0,-149742906.0
60,60,60,18. Lợi nhuận sau thuế TNDN,,602.360.945,1.532.761.460,,,602360945.0,1532761460.0
61,61,61,19. Lợi nhuận sau thuế của công ty mẹ,,502.343.207,1.453.002.809,,,502343207.0,1453002809.0
62,62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,100.017.738,79.758.651,,,100017738.0,79758651.0
70,70,70,21. Lãi cơ bản trên cổ phiếu (VND),29,613,1.831,,29.0,613.0,1831.0
71,71,71,22. Lãi suy giảm trên cổ phiếu (VND),29,613,1.778,,29.0,613.0,1778.0
