row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Các khoản phải thu về bán hàng và cung cấp dịch vụ,Các khoản phải thu về bán hàng và cung cấp dịch vụ,Các khoản phải thu về bán hàng và cung cấp dịch vụ,341.776.177,1.049.728.504,341776177.0,1049728504.0
Các khoản phải thu từ thanh lý các khoản đầu tư,Các khoản phải thu từ thanh lý các khoản đầu tư,Các khoản phải thu từ thanh lý các khoản đầu tư,309.841.300,454.948.900,309841300.0,454948900.0
Các khoản phải thu từ dịch vụ xây dựng,Các khoản phải thu từ dịch vụ xây dựng,Các khoản phải thu từ dịch vụ xây dựng,850.175.129,471.528.265,850175129.0,471528265.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu Chính phủ Lào cho việc xây dựng sản bay,Trong đó: > Phải thu Chính phủ Lào cho việc xây dựng sản bay,Phải thu Chính phủ Lào cho việc xây dựng sản bay,730.579.743,470.501.762,730579743.0,470501762.0
Phải thu từ các khách hàng khác,Trong đó: > Phải thu từ các khách hàng khác,Phải thu từ các khách hàng khác,119.595.386,1.026.503,119595386.0,1026503.0
Phải thu về thanh lý tài sản cố định và bất động sản đầu tư,Trong đó: > Phải thu về thanh lý tài sản cố định và bất động sản đầu tư,Phải thu về thanh lý tài sản cố định và bất động sản đầu tư,76.548.668,,76548668.0,
Phải thu tiền bán căn hộ,Trong đó: > Phải thu tiền bán căn hộ,Phải thu tiền bán căn hộ,28.768.815,72.376.541,28768815.0,72376541.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.607.110.089,2.048.582.210,1607110089.0,2048582210.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu các bên liên quan (Thuyết minh số 37),Trong đó: > Phải thu các bên liên quan (Thuyết minh số 37),Phải thu các bên liên quan (Thuyết minh số 37),283.018.184,93.981.410,283018184.0,93981410.0
Phải thu các bên khác,Trong đó: > Phải thu các bên khác,Phải thu các bên khác,1.324.091.905,1.954.600.800,1324091905.0,1954600800.0
