row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Nhà cửa,vật kiến trúc",Ngàn VNDTổng cộng,numeric__Quyềnsử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,133.012.372,15.001.180,148.013.552,133012372.0,15001180.0,148013552.0
Được cấp mới trong năm,Nguyên giá > Được cấp mới trong năm,Được cấp mới trong năm,64.477.600,-,64.477.600,64477600.0,,64477600.0
Bi thu hồi trong năm,Nguyên giá > Bi thu hồi trong năm,Bi thu hồi trong năm,(51.828.858),-,(51.828.858),-51828858.0,,-51828858.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(81.183.514),-,(81.183.514),-81183514.0,,-81183514.0
Chuyển từ tài sản cố định hữu hình,Nguyên giá > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,4.596.072,4.596.072,,4596072.0,4596072.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,64.477.600,19.597.252,84.074.852,64477600.0,19597252.0,84074852.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,-,750.059,750.059,,750059.0,750059.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,500.039,500.039,,500039.0,500039.0
Chuyển từ tài sản cố định hữu hình,Giá trị khấu hao lũy kế > Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,1.099.260,1.099.260,,1099260.0,1099260.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,-,2.349.358,2.349.358,,2349358.0,2349358.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,133.012.372,14.251.121,147.263.493,133012372.0,14251121.0,147263493.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,64.477.600,17.247.894,81.725.494,64477600.0,17247894.0,81725494.0
Trong đó:Thế chấp/ cảm cố để đảm bảo cáckhoản vay (Thuyết minh số 26),Giá trị còn lại > Trong đó:Thế chấp/ cảm cố để đảm bảo cáckhoản vay (Thuyết minh số 26),Trong đó:Thế chấp/ cảm cố để đảm bảo cáckhoản vay (Thuyết minh số 26),-,13.751.082,13.751.082,,13751082.0,13751082.0
