row_label_raw,row_label_full,col_0,Ngàn VND,numeric__Ngàn VND
,,,Giá trị hợp lý được xác định tạm thời ghi nhận tại ngày mua,
Tài sản,Tài sản,Tài sản,Tài sản,
Tiền,Tài sản > Tiền,Tiền,411.433,411433.0
Phải thu ngắn hạn của khách hàng,Tài sản > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,205.726.534,205726534.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,8.038.851,8038851.0
Chi phí trả trước ngắn hạn,Tài sản > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,58.254.349,58254349.0
Tài sản cố định hữu hình,Tài sản > Tài sản cố định hữu hình,Tài sản cố định hữu hình,23.774.972,23774972.0
Tài sản cố định vô hình,Tài sản > Tài sản cố định vô hình,Tài sản cố định vô hình,6.648.075,6648075.0
Chi phí xây dựng cơ bản dở dang,Tài sản > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,54.562.778,54562778.0
Đầu tư góp vốn vào đơn vị khác,Tài sản > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,39.200.000,39200000.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,
Phải trả ngắn hạn khác,Nợ phải trả > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(2.341.549),-2341549.0
Tổng tài sản thuần theo giá trị hợp lý,Nợ phải trả > Tổng tài sản thuần theo giá trị hợp lý,Tổng tài sản thuần theo giá trị hợp lý,394.275.443,394275443.0
Cổ đông không kiểm soát,Nợ phải trả > Cổ đông không kiểm soát,Cổ đông không kiểm soát,2.077.760,2077760.0
Lợi thế thương mại từ hợp nhất kinh doanh,Nợ phải trả > Lợi thế thương mại từ hợp nhất kinh doanh,Lợi thế thương mại từ hợp nhất kinh doanh,64.650.597,64650597.0
Tổng giá phí hợp nhất kinh doanh,Nợ phải trả > Tổng giá phí hợp nhất kinh doanh,Tổng giá phí hợp nhất kinh doanh,(461.003.800),-461003800.0
