row_label_raw,row_label_full,Tên công ty con,Trụ sở,Tình trang hoạt động,Ngày thành lập/ngày mua,Tỷ lệ sở hữu (%),numeric__Trụ sở,numeric__Tình trang hoạt động,numeric__Ngày thành lập/ngày mua,numeric__Tỷ lệ sở hữu (%)
Bất động sản,Bất động sản,Bất động sản,Bất động sản,Bất động sản,Bất động sản,Bất động sản,,,,
(1) Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Bất động sản > (1) Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,(1) Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,"Tp. Hồ Chí Minh, Việt Nam",Đang hoạt động,4/6/2007,"85,75",,,,85.75
(2) Công ty TNHH Hoàng Anh Gia Lai Myanmar,Bất động sản > (2) Công ty TNHH Hoàng Anh Gia Lai Myanmar,(2) Công ty TNHH Hoàng Anh Gia Lai Myanmar,"Tp. Yangon, Myanmar",Đang hoạt động,21/2/2013,"85,75",,,,85.75
(3) Công ty TNHH Hoàng Anh Gia Lai - Bangkok,Bất động sản > (3) Công ty TNHH Hoàng Anh Gia Lai - Bangkok,(3) Công ty TNHH Hoàng Anh Gia Lai - Bangkok,"Tp. Bangkok, Thái Lan",Đang hoạt động,2009,"(i) 40,30",,,2009.0,
Thủy điện,Thủy điện,Thủy điện,Thủy điện,Thủy điện,Thủy điện,Thủy điện,,,,
(4) Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,Thủy điện > (4) Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,(4) Công ty Cổ phần Thủy điện Hoàng Anh Gia Lai,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,5/6/2007,"95,58",,,,95.58
(5) Công ty TNHH Điện Hoàng Anh Attapeu,Thủy điện > (5) Công ty TNHH Điện Hoàng Anh Attapeu,(5) Công ty TNHH Điện Hoàng Anh Attapeu,"Viên Chăn, Lào",Trước hoạt động,18/7/2011,"95,58",,,,95.58
(6) Công ty TNHH Điện Nậm Kông 3,Thủy điện > (6) Công ty TNHH Điện Nậm Kông 3,(6) Công ty TNHH Điện Nậm Kông 3,"Tỉnh Attapeu, Lào",Trước hoạt động,31/5/2013,"95,58",,,,95.58
Nông nghiệp,Nông nghiệp,Nông nghiệp,Nông nghiệp,Nông nghiệp,Nông nghiệp,Nông nghiệp,,,,
(7) Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (trước đây là “Công ty Cổ phần Cao su Hoàng Anh Gia Lai”) (ii),Nông nghiệp > (7) Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (trước đây là “Công ty Cổ phần Cao su Hoàng Anh Gia Lai”) (ii),(7) Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai (trước đây là “Công ty Cổ phần Cao su Hoàng Anh Gia Lai”) (ii),"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,26/5/2010,"85,95",,,,85.95
(8) Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Nông nghiệp > (8) Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,(8) Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,5/2/2013,"85,95",,,,85.95
(9) Công ty Cổ phần Mia đường Hoàng Anh Gia Lai,Nông nghiệp > (9) Công ty Cổ phần Mia đường Hoàng Anh Gia Lai,(9) Công ty Cổ phần Mia đường Hoàng Anh Gia Lai,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,26/1/2011,"85,94",,,,85.94
(10) Công ty TNHH Mia đường Hoàng Anh Attapeu,Nông nghiệp > (10) Công ty TNHH Mia đường Hoàng Anh Attapeu,(10) Công ty TNHH Mia đường Hoàng Anh Attapeu,"Tỉnh Attapeu, Lào",Đang hoạt động,1/11/2011,"85,94",,,,85.94
(11) Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,Nông nghiệp > (11) Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,(11) Công ty Cổ phần Cao su Hoàng Anh - Quang Minh,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,1/2/2007,"84,03",,,,84.03
(12) Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,Nông nghiệp > (12) Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,(12) Công ty TNHH Công nghiệp và Nông nghiệp Cao su Hoàng Anh - Quang Minh,"Tỉnh Attapeu, Lào",Đang hoạt động,12/1/2007,"84,03",,,,84.03
(13) Công ty Cổ phần Hoàng Anh Đắk Lắk,Nông nghiệp > (13) Công ty Cổ phần Hoàng Anh Đắk Lắk,(13) Công ty Cổ phần Hoàng Anh Đắk Lắk,"Tỉnh Đắk Lắk, Việt Nam",Đang hoạt động,12/9/2007,"85,54",,,,85.54
(14) Công ty Cổ phần Cao su Ban Mê,Nông nghiệp > (14) Công ty Cổ phần Cao su Ban Mê,(14) Công ty Cổ phần Cao su Ban Mê,"Tỉnh Đắk Lắk, Việt Nam",Trước hoạt động,15/1/2010,"85,48",,,,85.48
(15) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Nông nghiệp > (15) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,(15) Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,"Tỉnh Attapeu, Lào",Đang hoạt động,22/5/2008,"85,95",,,,85.95
(16) Công ty TNHH MTV Hoàng Anh An Đông Meas,Nông nghiệp > (16) Công ty TNHH MTV Hoàng Anh An Đông Meas,(16) Công ty TNHH MTV Hoàng Anh An Đông Meas,"Rattanakiri, Campuchia",Đang hoạt động,17/2/2011,"84,03",,,,84.03
(17) Công ty TNHH Hoàng Anh Oyadav,Nông nghiệp > (17) Công ty TNHH Hoàng Anh Oyadav,(17) Công ty TNHH Hoàng Anh Oyadav,"Rattanakiri, Campuchia",Trước hoạt động,16/7/2010,"85,95",,,,85.95
(18) Công ty TNHH Heng Brothers,Nông nghiệp > (18) Công ty TNHH Heng Brothers,(18) Công ty TNHH Heng Brothers,"Rattanakiri, Campuchia",Trước hoạt động,25/1/2010,"85,95",,,,85.95
(19) Công ty TNHH CRD,Nông nghiệp > (19) Công ty TNHH CRD,(19) Công ty TNHH CRD,"Rattanakiri, Campuchia",Trước hoạt động,15/12/2010,"85,95",,,,85.95
