row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,152.218.598,187.107.204,152218598.0,187107204.0
Phải trả tiền sử dụng đất dự án Khu phức hợp,Phải trả tiền sử dụng đất dự án Khu phức hợp,Phải trả tiền sử dụng đất dự án Khu phức hợp,,,,
Hoàng Anh Gia Lai Myanmar,Phải trả tiền sử dụng đất dự án Khu phức hợp > Hoàng Anh Gia Lai Myanmar,Hoàng Anh Gia Lai Myanmar,490.407.288,396.268.196,490407288.0,396268196.0
Phải trả nhà thầu xây dựng,Phải trả tiền sử dụng đất dự án Khu phức hợp > Phải trả nhà thầu xây dựng,Phải trả nhà thầu xây dựng,300.130.687,45.389.623,300130687.0,45389623.0
Phải trả tiền mua máy móc thiết bị và phát triểnvườn cây,Phải trả tiền sử dụng đất dự án Khu phức hợp > Phải trả tiền mua máy móc thiết bị và phát triểnvườn cây,Phải trả tiền mua máy móc thiết bị và phát triểnvườn cây,114.681.513,19.446.289,114681513.0,19446289.0
Phải trả người bán khác,Phải trả tiền sử dụng đất dự án Khu phức hợp > Phải trả người bán khác,Phải trả người bán khác,66.210.000,4.721.002,66210000.0,4721002.0
TỔNG CỘNG,Phải trả tiền sử dụng đất dự án Khu phức hợp > TỔNG CỘNG,TỔNG CỘNG,1.123.648.086,652.932.314,1123648086.0,652932314.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả người bán khác,Trong đó: > Phải trả người bán khác,Phải trả người bán khác,1.021.126.780,616.210.332,1021126780.0,616210332.0
Phải trả các bên liên quan (Thuyết minh số 37),Trong đó: > Phải trả các bên liên quan (Thuyết minh số 37),Phải trả các bên liên quan (Thuyết minh số 37),102.521.306,36.721.982,102521306.0,36721982.0
