row_label_raw,row_label_full,col_0,Nhóm bất động sản và xây dựng,"Nhóm kinh, gưỡng","Nhóm sữ, sen vòi và phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Bộ phận khác,Loại trừ nội bộ,Tổng cộng các bộ phận,numeric__Nhóm bất động sản và xây dựng,"numeric__Nhóm kinh, gưỡng","numeric__Nhóm sữ, sen vòi và phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Bộ phận khác,numeric__Loại trừ nội bộ,numeric__Tổng cộng các bộ phận
Doanh thu thuãn từ bán hàng ra bên ngoài,Doanh thu thuãn từ bán hàng ra bên ngoài,Doanh thu thuãn từ bán hàng ra bên ngoài,3.923.945.391.534,1.669.841.280.562,1.026.094.999.890,2.568.176.733.427,1.706.582.105.579,299.672.858.130,,11.194.313.369.122,3923945391534.0,1669841280562.0,1026094999890.0,2568176733427.0,1706582105579.0,299672858130.0,,11194313369122.0
Doanh thu thuãn từ bán hàng cho các bộ phận khác,Doanh thu thuãn từ bán hàng cho các bộ phận khác,Doanh thu thuãn từ bán hàng cho các bộ phận khác,145.033.909.010,11.051.910.415,1.115.316.986.262,2.370.937.009.377,16.588.903.320,291.283.305.053,(3.950.212.023.437),-,145033909010.0,11051910415.0,1115316986262.0,2370937009377.0,16588903320.0,291283305053.0,-3950212023437.0,
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,4.068.979.300.544,1.680.893.190.977,2.141.411.986.152,4.939.113.742.804,1.723.171.008.899,590.956.163.183,(3.950.212.023.437),11.194.313.369.122,4068979300544.0,1680893190977.0,2141411986152.0,4939113742804.0,1723171008899.0,590956163183.0,-3950212023437.0,11194313369122.0
Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,2.706.868.099.877,1.151.118.085.454,1.839.234.949.381,4.427.659.685.008,1.455.419.694.727,531.642.481.004,(3.790.156.731.171),8.321.786.264.280,2706868099877.0,1151118085454.0,1839234949381.0,4427659685008.0,1455419694727.0,531642481004.0,-3790156731171.0,8321786264280.0
Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,1.362.111.200.667,529.775.105.523,302.177.036.771,511.454.057.796,267.751.314.172,59.313.682.179,(160.055.292.266),2.872.527.104.842,1362111200667.0,529775105523.0,302177036771.0,511454057796.0,267751314172.0,59313682179.0,-160055292266.0,2872527104842.0
Chi phí không phân bổ Lợi nhuận từ hoạt động kinh doanh,Chi phí không phân bổ Lợi nhuận từ hoạt động kinh doanh,Chi phí không phân bổ Lợi nhuận từ hoạt động kinh doanh,,,,,,,,1.420.370.592.163,,,,,,,,1420370592163.0
Chi phí không phân bổ Lợi nhuận từ hoạt động kinh doanh,Chi phí không phân bổ Lợi nhuận từ hoạt động kinh doanh,Chi phí không phân bổ Lợi nhuận từ hoạt động kinh doanh,,,,,,,,1.452.156.512.679,,,,,,,,1452156512679.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,,,(18.138.190.199),,,,,,,,-18138190199.0
Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,,,107.418.309.717,,,,,,,,107418309717.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,1.541.436.632.197,,,,,,,,1541436632197.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,,,,262.359.755.009,,,,,,,,262359755009.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,1.279.076.877.188,,,,,,,,1279076877188.0
