row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > VNDGiá trịcó thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > VNDGiá trịcó thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > VNDGiá trịcó thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VNDGiá trịcó thể thu hồi
Empresa,Empresa,Empresa,64.153.909.245,7.165.647.643,64.153.909.245,24.117.564.703,64153909245.0,7165647643.0,64153909245.0,24117564703.0
Exportadora e Importadora de la Construction,Exportadora e Importadora de la Construction,Exportadora e Importadora de la Construction,,,,,,,,
UBND huyện Hoành,Exportadora e Importadora de la Construction > UBND huyện Hoành,UBND huyện Hoành,33.642.634.419,16.888.000.000,33.642.634.419,16.888.000.000,33642634419.0,16888000000.0,33642634419.0,16888000000.0
"Bỏ (tiền sử dụng đất,bồi thường và chi phí khác)","Bỏ (tiền sử dụng đất,bồi thường và chi phí khác)","Bỏ (tiền sử dụng đất,bồi thường và chi phí khác)",,,,,,,,
Công ty Cổ phần,"Bỏ (tiền sử dụng đất,bồi thường và chi phí khác) > Công ty Cổ phần",Công ty Cổ phần,6.406.288.707,892.400.000,6.606.288.707,3.239.400.359,6406288707.0,892400000.0,6606288707.0,3239400359.0
Giấy Tây Đô,Giấy Tây Đô,Giấy Tây Đô,,,,,,,,
Công ty Cổ phần,Giấy Tây Đô > Công ty Cổ phần,Công ty Cổ phần,6.276.862.862,-,6.276.862.862,-,6276862862.0,,6276862862.0,
Phát triển và Kinh doanh nhà Vĩnh Phúc,Phát triển và Kinh doanh nhà Vĩnh Phúc,Phát triển và Kinh doanh nhà Vĩnh Phúc,,,,,,,,
Công ty TNHH TLG,Phát triển và Kinh doanh nhà Vĩnh Phúc > Công ty TNHH TLG,Công ty TNHH TLG,6.197.848.091,-,4.230.000.000,-,6197848091.0,,4230000000.0,
Thăng Long,Thăng Long,Thăng Long,,,,,,,,
Công ty Cổ phần,Thăng Long > Công ty Cổ phần,Công ty Cổ phần,6.175.268.784,3.319.778.605,6.245.072.369,4.991.435.439,6175268784.0,3319778605.0,6245072369.0,4991435439.0
Sado Germany Window,Sado Germany Window,Sado Germany Window,,,,,,,,
Công ty TNHH JUNA,Sado Germany Window > Công ty TNHH JUNA,Công ty TNHH JUNA,5.191.824.617,-,5.191.824.617,2.595.912.308,5191824617.0,,5191824617.0,2595912308.0
Công ty Cổ phần Bá Hiển,Sado Germany Window > Công ty Cổ phần Bá Hiển,Công ty Cổ phần Bá Hiển,5.408.189.208,-,4.908.189.208,5.969.700,5408189208.0,,4908189208.0,5969700.0
Các đối tượng khác,Sado Germany Window > Các đối tượng khác,Các đối tượng khác,244.667.855.068,27.100.654.957,271.777.602.966,50.354.703.069,244667855068.0,27100654957.0,271777602966.0,50354703069.0
,,,378.120.681.001,55.366.481.205,403.032.384.393,102.192.985.578,378120681001.0,55366481205.0,403032384393.0,102192985578.0
Tổng giá trị dự phòng đã trích lập,Sado Germany Window > Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,,322.754.199.796,,300.839.398.815,,322754199796.0,,300839398815.0
