row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ Đầu tư phát triển,Chênh lệch tỷ giả hối đoai,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ Đầu tư phát triển,numeric__Chênh lệch tỷ giả hối đoai,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.483.500.000.000,931.908.405.494,22.169.426.581,(2.471.750),(211.820.416.851),372.750.759.243,(2.587.926.278),6.590.730.292,785.969.011.918,663.955.202.248,7.052.432.720.897,4483500000000.0,931908405494.0,22169426581.0,-2471750.0,-211820416851.0,372750759243.0,-2587926278.0,6590730292.0,785969011918.0,663955202248.0,7052432720897.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,1.223.652.102.467,55.424.774.721,1.279.076.877.188,,,,,,,,,1223652102467.0,55424774721.0,1279076877188.0
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,-,-,-,67.005.283.977,-,-,(67.005.283.977),-,-,,,,,,67005283977.0,,,-67005283977.0,,
Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(58.294.829.084),(9.164.748.160),(67.459.577.244),,,,,,,,,-58294829084.0,-9164748160.0,-67459577244.0
Trả thủ lao của Hội đồng Quản trị,Trả thủ lao của Hội đồng Quản trị,Trả thủ lao của Hội đồng Quản trị,-,-,-,-,-,-,-,-,(3.396.212.772),(1.134.869.700),(4.531.082.472),,,,,,,,,-3396212772.0,-1134869700.0,-4531082472.0
Lãi chậm nộp phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi chậm nộp phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi chậm nộp phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,-,-,-,-,-,(292.906.744),-,(292.906.744),,,,,,,,,-292906744.0,,-292906744.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,-,-,-,-,-,-,-,-,447.304.277.978,447.304.277.978,,,,,,,,,,447304277978.0,447304277978.0
Tăng vốn ở Công ty con,Tăng vốn ở Công ty con,Tăng vốn ở Công ty con,-,(1.643.928.008),-,-,-,-,-,-,-,147.870.539.758,146.226.611.750,,-1643928008.0,,,,,,,,147870539758.0,146226611750.0
Phân loại lại,Phân loại lại,Phân loại lại,-,(397.421.467),(5.007.071.235),758.150,-,(8.584.706.828),-,(332.790.315),14.321.231.695,-,-,,-397421467.0,-5007071235.0,758150.0,,-8584706828.0,,-332790315.0,14321231695.0,,
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,-,-,-,-,-,(493.185.000.000),(56.041.161.259),(549.226.161.259),,,,,,,,,-493185000000.0,-56041161259.0,-549226161259.0
Chênh lệch tỷ giả,Chênh lệch tỷ giả,Chênh lệch tỷ giả,-,-,-,-,-,-,(11.732.649.409),-,-,-,(11.732.649.409),,,,,,,-11732649409.0,,,,-11732649409.0
Khác,Khác,Khác,-,-,-,-,139.009.836,24.067.723,-,-,8.770.740.989,12.231.619.220,21.165.437.768,,,,,139009836.0,24067723.0,,,8770740989.0,12231619220.0,21165437768.0
