row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Phân loại lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Phân loại lại)
C.,C.,C.,Nợ PHẢI TRẢ,300,,13.873.492.333.128,13.640.207.719.539,,300.0,,13873492333128.0,13640207719539.0
I.,I.,I.,Nợ ngắn hạn,310,,8.390.770.390.534,8.290.136.563.681,,310.0,,8390770390534.0,8290136563681.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,1.590.437.105.954,1.304.258.494.888,,311.0,17.0,1590437105954.0,1304258494888.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,18,2.402.024.391.289,3.373.298.518.911,,312.0,18.0,2402024391289.0,3373298518911.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,19,208.971.331.531,267.732.573.028,,313.0,19.0,208971331531.0,267732573028.0
4.,4.,4.,Phải trả người lao động,314,,365.579.148.846,308.450.315.522,,314.0,,365579148846.0,308450315522.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,1.052.948.571.329,793.614.819.351,,315.0,20.0,1052948571329.0,793614819351.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,21,38.697.241.786,60.423.647.998,,318.0,21.0,38697241786.0,60423647998.0
7.,7.,7.,Phải trả ngắn hạn khác,319,22,567.092.159.688,541.909.535.491,,319.0,22.0,567092159688.0,541909535491.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,23,1.959.414.545.347,1.446.965.765.699,,320.0,23.0,1959414545347.0,1446965765699.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,26,19.003.828.492,24.640.154.858,,321.0,26.0,19003828492.0,24640154858.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,27,186.602.066.272,168.842.737.935,,322.0,27.0,186602066272.0,168842737935.0
II.,II.,II.,Nợ dài hạn,330,,5.482.721.942.594,5.350.071.155.858,,330.0,,5482721942594.0,5350071155858.0
1.,1.,1.,Chi phí phải trả dài hạn,333,20,188.387.114.899,152.320.123.747,,333.0,20.0,188387114899.0,152320123747.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,21,2.717.939.404.426,2.738.529.046.074,,336.0,21.0,2717939404426.0,2738529046074.0
3.,3.,3.,Phải trả dài hạn khác,337,22,44.057.480.912,44.035.726.396,,337.0,22.0,44057480912.0,44035726396.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,24,1.657.144.167.196,1.742.136.143.923,,338.0,24.0,1657144167196.0,1742136143923.0
5.,5.,5.,Thuế thu nhập hoãn lại phải trả,341,25,144.422.683.836,118.487.197.653,,341.0,25.0,144422683836.0,118487197653.0
6.,6.,6.,Dự phòng phải trả dài hạn,342,26,408.463.901.133,334.970.321.977,,342.0,26.0,408463901133.0,334970321977.0
7.,7.,7.,Quỹ phát triển khoa học và công nghệ,343,28,322.307.190.192,219.592.596.088,,343.0,28.0,322307190192.0,219592596088.0
