row_label_raw,row_label_full,STT,Tên công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết(%)Hoạt động chính,numeric__Tên công ty,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ quyền biểu quyết(%)Hoạt động chính
,,,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,
1.,1.,1.,Công ty Cổ phần Kính Đáp Cầu,Bắc Ninh,"86,41%","86,41% Sản xuất và kinh doanh kính",,,0.8641,
2.,2.,2.,Công ty TNHH Kính nối siêu trắng Phú Mỹ,Vũng Tàu,"65,00%","65,00% Sản xuất các sản phẩm kính",,,0.65,
3.,3.,3.,Công ty Cổ phần Viglacera Vân Hải,Quảng Ninh,"95,02%","95,02% Khai thác và kinh doanh cát, dịch vụ du lịch",,,0.9501999999999999,
4.,4.,4.,Công ty Cổ phần Khoáng sản Viglacera,Yên Bái,"51,00%","51,00% Khai thác và kinh doanh khoáng sản",,,0.51,
5.,5.,5.,Công ty Cổ phần Việt Trì Viglacera,Phú Thọ,"92,82%","92,82% Sản xuất và kinh doanh sử vệ sinh",,,0.9281999999999999,
6.,6.,6.,Công ty Cổ phần Sử Viglacera Thanh Trì,Hà Nội,"59,96%","59,96% Sản xuất và kinh doanh sử vệ sinh",,,0.5996,
7.,7.,7.,Công ty Cổ phần Thương mại Viglacera (i),Hà Nội,"76,23%","85,95% Kinh doanh sử vệ sinh, sen vòi và vật liệu xây dựng",,,0.7623000000000001,
8.,8.,8.,Công ty Cổ phần Viglacera Thăng Long,Vĩnh Phúc,"51,07%","51,07% Sản xuất và kinh doanh gạch ốp lát",,,0.5107,
9.,9.,9.,Công ty Cổ phần Viglacera Tiên Sơn,Bắc Ninh,"51,00%","51,00% Sản xuất và kinh doanh gạch ốp lát",,,0.51,
10.,10.,10.,Công ty Cổ phần Viglacera Hà Nội,Hà Nội,"51,00%","51,00% Sản xuất và kinh doanh gạch ốp lát",,,0.51,
11.,11.,11.,Công ty Cổ phần Bê tông khí Viglacera,Bắc Ninh,"96,19%","97,69% Sản xuất gạch, panel, bê tông khí chung áp",,,0.9619,
12.,12.,12.,Công ty Cổ phần Bao bì và Má phanh Viglacera,Hà Nội,"51,00%","51,00% Sản xuất và kinh doanh bao bì, má phanh",,,0.51,
13.,13.,13.,Công ty Cổ phần Viglacera Hạ Long,Quảng Ninh,"50,48%","50,48% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.5047999999999999,
14.,14.,14.,Công ty Cổ phần Từ Liêm,Hà Nội,"55,92%","55,92% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.5592,
15.,15.,15.,Công ty Cổ phần 382 Đông Anh,Hà Nội,"51,00%","51,00% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.51,
16.,16.,16.,Công ty Cổ phần Gốm Xây dựng HữuHà Nội Hưng,,"51,00%","51,00% Sản xuất và kinh doanh gạch ngói đất sét nung",,,0.51,
17.,17.,17.,Công ty Cổ phần Tư vấn Viglacera,Hà Nội,"76,89%","76,89% Lập dự án, thiết kế các công trình",,,0.7689,
18.,18.,18.,Công ty TNHH CHAO - Viglacera,Hà Nội,"100,00%","100,00% Dịch vụ, du lịch, nhà hàng",,,1.0,
19.,19.,19.,Công ty Cổ phần Phát triển Khu công nghiệp Viglacera Yên Mỹ (Trước đây là Công ty Cổ phần Phát triển Khu công nghiệp Viglacera Yên Mỹ - Hưng Yên),Hưng Yên,"60,00%","60,00% Dầu tư xây dựng và kinh doanh hạ tầng khu công nghiệp",,,0.6,
20.,20.,20.,Công ty ViMariel - CTCP (ii),Cuba,"99,13%","99,95% Kinh doanh hạ tầng khu công nghiệp",,,0.9913,
