row_label_raw,row_label_full,Ngân hàng/Tổ chức cho vay,Số cuối năm VND,Số đầu năm VND,Thời hạn cho vay/ngày đáo hạn,Lãi suất,Mục đích vay,Tài sản đảm bảo,numeric__Số cuối năm VND,numeric__Số đầu năm VND,numeric__Thời hạn cho vay/ngày đáo hạn,numeric__Lãi suất,numeric__Mục đích vay,numeric__Tài sản đảm bảo
Vay dài hạn,Vay dài hạn,Vay dài hạn,1.851.061.610.254,2.049.725.249.133,,,,,1851061610254.0,2049725249133.0,,,,
Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,Ngân hàng TMCP Công thương Việt Nam,1.710.852.774.514,1.762.551.197.977,Từ 2023 đến 2028,Thả nổi và theo từng khế ước nhận nợ,"Đầu tư dự án khu công nghiệp, dự án xây dựng nhà xưởng, nhà kho để cho thuê, đầu tư nhà máy, mua máy móc thiết bị, đầu tư nhà máy Kính nổi siêu trắng Phú Mỹ",Thế chấp bằng tài sản,1710852774514.0,1762551197977.0,,,,
