row_label_raw,row_label_full,col_0,CHỈ TIÊU,Thuyết > Mã số,Thuyết > minh,Thuyết > Năm nay,Thuyết > Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Thuyết > Năm nay,numeric__Thuyết > Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,33,14.607.943.556.288,11.211.146.418.311,,1.0,33.0,14607943556288.0,11211146418311.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,33,15.493.694.311,16.833.049.189,,2.0,33.0,15493694311.0,16833049189.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,14.592.449.861.977,11.194.313.369.122,,10.0,,14592449861977.0,11194313369122.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,34,10.354.300.437.633,8.321.786.264.280,,11.0,34.0,10354300437633.0,8321786264280.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,4.238.149.424.344,2.872.527.104.842,,20.0,,4238149424344.0,2872527104842.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,36,85.615.395.038,189.895.357.429,,21.0,36.0,85615395038.0,189895357429.0
7.,7.,7.,Chi phí tài chính,22,37,324.403.037.382,205.544.872.403,,22.0,37.0,324403037382.0,205544872403.0
,,,- Trong đó: Chi phí lãi vay,23,,251.376.723.757,160.711.679.097,,23.0,,251376723757.0,160711679097.0
8.,8.,8.,"Phần lãi trong công ty liên doanh, liên kết",24,,112.409.447.259,123.067.824.691,,24.0,,112409447259.0,123067824691.0
9.,9.,9.,Chi phí bán hàng,25,38,936.334.436.050,671.344.970.849,,25.0,38.0,936334436050.0,671344970849.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,38,911.832.018.223,749.025.621.314,,26.0,38.0,911832018223.0,749025621314.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,2.263.604.774.986,1.559.574.822.396,,30.0,,2263604774986.0,1559574822396.0
12.,12.,12.,Thu nhập khác,31,,83.630.368.167,41.106.095.851,,31.0,,83630368167.0,41106095851.0
13.,13.,13.,Chi phí khác,32,,42.030.991.056,59.244.286.050,,32.0,,42030991056.0,59244286050.0
14.,14.,14.,Lợi nhuận/(lỗ) khác (40=31-32),40,,41.599.377.111,(18.138.190.199),,40.0,,41599377111.0,-18138190199.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,2.305.204.152.097,1.541.436.632.197,,50.0,,2305204152097.0,1541436632197.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,39,381.840.210.013,251.982.368.784,,51.0,39.0,381840210013.0,251982368784.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,25,10.325.407.122,10.377.386.225,,52.0,25.0,10325407122.0,10377386225.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.913.038.534.962,1.279.076.877.188,,60.0,,1913038534962.0,1279076877188.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,1.728.187.379.363,1.223.652.102.467,,61.0,,1728187379363.0,1223652102467.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,184.851.155.599,55.424.774.721,,62.0,,184851155599.0,55424774721.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,40,3.854,2.517,,70.0,40.0,3854.0,2517.0
