row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Phân loại lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Phân loại lại)VND
"Chi phí các dự án, công trình xây dựng","Chi phí các dự án, công trình xây dựng","Chi phí các dự án, công trình xây dựng",908.326.408.827,642.264.547.933,908326408827.0,642264547933.0
Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,34.269.030.863,32.268.993.036,34269030863.0,32268993036.0
"Chi phí hỗ trợ tiêu thụ, chiết khấu thương mại, môi giới","Chi phí hỗ trợ tiêu thụ, chiết khấu thương mại, môi giới","Chi phí hỗ trợ tiêu thụ, chiết khấu thương mại, môi giới",17.709.338.760,45.669.932.750,17709338760.0,45669932750.0
Chi phí hoa hồng đại lý,Chi phí hoa hồng đại lý,Chi phí hoa hồng đại lý,10.448.717.711,9.027.265.000,10448717711.0,9027265000.0
Trích trước chi phí hội nghị,Trích trước chi phí hội nghị,Trích trước chi phí hội nghị,6.639.135.000,-,6639135000.0,
"Chi phí dịch vụ đào tạo, tư vấn","Chi phí dịch vụ đào tạo, tư vấn","Chi phí dịch vụ đào tạo, tư vấn",5.202.677.840,5.202.677.840,5202677840.0,5202677840.0
Tiền thuê đất tại các khu công nghiệp,Tiền thuê đất tại các khu công nghiệp,Tiền thuê đất tại các khu công nghiệp,4.801.384.951,4.039.987.288,4801384951.0,4039987288.0
"Chi phí vận chuyển, bốc xếp","Chi phí vận chuyển, bốc xếp","Chi phí vận chuyển, bốc xếp",3.853.690.142,8.514.759.637,3853690142.0,8514759637.0
Chi phí chiết khấu thanh toán và hỗ trợ lãi vay cho khách hàng,Chi phí chiết khấu thanh toán và hỗ trợ lãi vay cho khách hàng,Chi phí chiết khấu thanh toán và hỗ trợ lãi vay cho khách hàng,432.115.362,5.133.078.032,432115362.0,5133078032.0
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,61.266.071.873,41.493.577.835,61266071873.0,41493577835.0
,,,1.052.948.571.329,793.614.819.351,1052948571329.0,793614819351.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Chi phí các dự án, công trình xây dựng","b. Dài hạn > Chi phí các dự án, công trình xây dựng","Chi phí các dự án, công trình xây dựng",188.387.114.899,152.320.123.747,188387114899.0,152320123747.0
,,,188.387.114.899,152.320.123.747,188387114899.0,152320123747.0
