row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,10.640.494.661.827,8.117.186.596.626,10640494661827.0,8117186596626.0
Doanh thu bán bắt động sản,Doanh thu bán bắt động sản,Doanh thu bán bắt động sản,1.065.190.064.172,874.289.244.292,1065190064172.0,874289244292.0
"Doanh thu bán các sản phẩm kính, gương","Doanh thu bán các sản phẩm kính, gương","Doanh thu bán các sản phẩm kính, gương",2.910.105.501.268,1.669.841.280.562,2910105501268.0,1669841280562.0
"Doanh thu bán các sản phẩm sứ, sen vòi và phụ kiện","Doanh thu bán các sản phẩm sứ, sen vòi và phụ kiện","Doanh thu bán các sản phẩm sứ, sen vòi và phụ kiện",1.088.757.239.217,1.026.094.999.890,1088757239217.0,1026094999890.0
Doanh thu bán các sản phẩm gạch ốp lát,Doanh thu bán các sản phẩm gạch ốp lát,Doanh thu bán các sản phẩm gạch ốp lát,3.587.011.446.436,2.585.000.782.616,3587011446436.0,2585000782616.0
"Doanh thu bán các sản phẩm gạch, ngói đất sét nung","Doanh thu bán các sản phẩm gạch, ngói đất sét nung","Doanh thu bán các sản phẩm gạch, ngói đất sét nung",1.694.962.944.106,1.706.582.105.579,1694962944106.0,1706582105579.0
"Doanh thu bán các sản phẩm bao bì, má phanh","Doanh thu bán các sản phẩm bao bì, má phanh","Doanh thu bán các sản phẩm bao bì, má phanh",154.060.315.444,58.345.756.649,154060315444.0,58345756649.0
Doanh thu bán sản phẩm bề tông khí,Doanh thu bán sản phẩm bề tông khí,Doanh thu bán sản phẩm bề tông khí,102.681.834.553,68.899.692.413,102681834553.0,68899692413.0
"Doanh thu từ khai thác, chế biến và kinh doanh khoáng sản và vận chuyển","Doanh thu từ khai thác, chế biến và kinh doanh khoáng sản và vận chuyển","Doanh thu từ khai thác, chế biến và kinh doanh khoáng sản và vận chuyển",29.037.018.760,103.830.815.568,29037018760.0,103830815568.0
Doanh thu bán hàng khác,Doanh thu bán hàng khác,Doanh thu bán hàng khác,8.688.297.871,24.301.919.057,8688297871.0,24301919057.0
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,3.793.045.628.459,3.002.965.718.460,3793045628459.0,3002965718460.0
"Dịch vụ cho thuê bắt động sản, hạ tầng khu công nghiệp","Dịch vụ cho thuê bắt động sản, hạ tầng khu công nghiệp","Dịch vụ cho thuê bắt động sản, hạ tầng khu công nghiệp",3.294.086.365.883,2.552.290.506.184,3294086365883.0,2552290506184.0
"Doanh thu từ các dịch vụ liên quan tới quản lý, vận hành các khu công nghiệp, khu đô thị, chung cư","Doanh thu từ các dịch vụ liên quan tới quản lý, vận hành các khu công nghiệp, khu đô thị, chung cư","Doanh thu từ các dịch vụ liên quan tới quản lý, vận hành các khu công nghiệp, khu đô thị, chung cư",442.324.164.233,406.371.537.833,442324164233.0,406371537833.0
Dịch vụ tư vấn xây dựng và thí nghiệm vật liệu xây dựng,Dịch vụ tư vấn xây dựng và thí nghiệm vật liệu xây dựng,Dịch vụ tư vấn xây dựng và thí nghiệm vật liệu xây dựng,15.468.267.566,11.153.880.069,15468267566.0,11153880069.0
"Dịch vụ lắp đặt khung nhôm, vách kính, các loại cửa","Dịch vụ lắp đặt khung nhôm, vách kính, các loại cửa","Dịch vụ lắp đặt khung nhôm, vách kính, các loại cửa",971.611.262,1.878.211.068,971611262.0,1878211068.0
Doanh thu về phí duy trì và phát triển thương hiệu,Doanh thu về phí duy trì và phát triển thương hiệu,Doanh thu về phí duy trì và phát triển thương hiệu,474.689.000,671.325.000,474689000.0,671325000.0
Dịch vụ khác,Dịch vụ khác,Dịch vụ khác,39.720.530.515,30.600.258.306,39720530515.0,30600258306.0
Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,Doanh thu hợp đồng xây dựng,174.403.266.002,90.994.103.225,174403266002.0,90994103225.0
,,,14.607.943.556.288,11.211.146.418.311,14607943556288.0,11211146418311.0
Trong đó: Doanh thu với các bên liên quan(chi tiết tại Thuyết minh số 42),Trong đó: Doanh thu với các bên liên quan(chi tiết tại Thuyết minh số 42),Trong đó: Doanh thu với các bên liên quan(chi tiết tại Thuyết minh số 42),11.176.988.754,27.761.279.608,11176988754.0,27761279608.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,,,
Hàng bán bị trả lại,Các khoản giảm trừ doanh thu > Hàng bán bị trả lại,Hàng bán bị trả lại,15.493.694.311,16.833.049.189,15493694311.0,16833049189.0
,,,15.493.694.311,16.833.049.189,15493694311.0,16833049189.0
