row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Giá trị thương hiệu, nhân hiệu hàng hóa, bàn quyền, bằng sáng chế",Phần mềm máy tỉnh,"Chi phí đèn bù, san lắp mật bằng",Tài sản khác,Tổng,numeric__Quyền sử dụng đất,"numeric__Giá trị thương hiệu, nhân hiệu hàng hóa, bàn quyền, bằng sáng chế",numeric__Phần mềm máy tỉnh,"numeric__Chi phí đèn bù, san lắp mật bằng",numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,96.539.538.295,3.305.486.937,15.711.087.282,93.259.704.164,1.517.635.000,210.333.451.678,96539538295.0,3305486937.0,15711087282.0,93259704164.0,1517635000.0,210333451678.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,99.000.000,-,-,99.000.000,,,99000000.0,,,99000000.0
Tăng do quyết toán,NGUYÊN GIÁ > Tăng do quyết toán,Tăng do quyết toán,-,-,-,-,8.674.997.834,8.674.997.834,,,,,8674997834.0,8674997834.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,96.539.538.295,3.305.486.937,15.810.087.282,93.259.704.164,10.192.632.834,219.107.449.512,96539538295.0,3305486937.0,15810087282.0,93259704164.0,10192632834.0,219107449512.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,19.004.791.524,639.960.413,7.133.852.001,18.369.705.859,1.207.568.460,46.355.878.257,19004791524.0,639960413.0,7133852001.0,18369705859.0,1207568460.0,46355878257.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,1.080.552.528,275.457.252,1.787.483.326,2.186.773.796,1.523.349.600,6.853.616.502,1080552528.0,275457252.0,1787483326.0,2186773796.0,1523349600.0,6853616502.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,20.085.344.052,915.417.665,8.921.335.327,20.556.479.655,2.730.918.060,53.209.494.759,20085344052.0,915417665.0,8921335327.0,20556479655.0,2730918060.0,53209494759.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,77.534.746.771,2.665.526.524,8.577.235.281,74.889.998.305,310.066.540,163.977.573.421,77534746771.0,2665526524.0,8577235281.0,74889998305.0,310066540.0,163977573421.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,76.454.194.243,2.390.069.272,6.888.751.955,72.703.224.509,7.461.714.774,165.897.954.753,76454194243.0,2390069272.0,6888751955.0,72703224509.0,7461714774.0,165897954753.0
