row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,Phải thu khách hàng ngắn hạn,70.521.814.692,25.362.958.490,70521814692.0,25362958490.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,49.421.138.646,-,49421138646.0,
Công ty SanVig - CTCP,Công ty SanVig - CTCP,Công ty SanVig - CTCP,7.382.029.438,5.305.983.857,7382029438.0,5305983857.0
Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,4.220.539.714,8.811.569.499,4220539714.0,8811569499.0
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,3.251.146.276,3.251.146.276,3251146276.0,3251146276.0
Công ty Cổ phần Viglacera Đông Triêu,Công ty Cổ phần Viglacera Đông Triêu,Công ty Cổ phần Viglacera Đông Triêu,2.307.549.698,2.201.949.698,2307549698.0,2201949698.0
Công ty Cổ phần Gốm xây dựng Yên Hưng,Công ty Cổ phần Gốm xây dựng Yên Hưng,Công ty Cổ phần Gốm xây dựng Yên Hưng,1.613.021.675,734.365.462,1613021675.0,734365462.0
Công ty Cổ phần Gạch chịu lửa Cầu Dương,Công ty Cổ phần Gạch chịu lửa Cầu Dương,Công ty Cổ phần Gạch chịu lửa Cầu Dương,1.045.739.585,1.045.739.585,1045739585.0,1045739585.0
Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,Công ty TNHH Kính nối Việt Nam,1.280.649.660,3.945.711.610,1280649660.0,3945711610.0
Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,-,66.492.503,,66492503.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,1.844.594.036,5.188.768.875,1844594036.0,5188768875.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,944.594.036,1.844.594.036,944594036.0,1844594036.0
Công ty Cổ phần Viglacera Đông Triêu,Công ty Cổ phần Viglacera Đông Triêu,Công ty Cổ phần Viglacera Đông Triêu,900.000.000,2.892.350.402,900000000.0,2892350402.0
Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,-,451.824.437,,451824437.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,5.459.648.296,5.459.648.296,5459648296.0,5459648296.0
Công ty Cổ phần Gạch chịu lửa Cầu Dương,Công ty Cổ phần Gạch chịu lửa Cầu Dương,Công ty Cổ phần Gạch chịu lửa Cầu Dương,2.701.986.296,2.701.986.296,2701986296.0,2701986296.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,2.006.710.000,2.006.710.000,2006710000.0,2006710000.0
Công ty Cổ phần Viglacera Đông Triêu,Công ty Cổ phần Viglacera Đông Triêu,Công ty Cổ phần Viglacera Đông Triêu,750.952.000,750.952.000,750952000.0,750952000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,65.550.786.231,12.825.540.753,65550786231.0,12825540753.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,64.570.419.633,12.759.048.250,64570419633.0,12759048250.0
Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,Công ty Cổ phần Vinafacade,767.476.804,-,767476804.0,
Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,Công ty Cổ phần Gạch ngói Từ Sơn,212.889.794,66.492.503,212889794.0,66492503.0
