row_label_raw,row_label_full,Ông Nguyễn Văn Tuân,Chủ tịch,numeric__Chủ tịch
Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Ông Trần Ngọc Anh,Thành viên,
Ông Nguyễn Trọng Hiền,Ông Nguyễn Trọng Hiền,Ông Nguyễn Trọng Hiền,Thành viên độc lập,
Ông Lê Bá Thọ,Ông Lê Bá Thọ,Ông Lê Bá Thọ,Thành viên (bố nhiệm ngày 26 tháng 4 năm 2022),
Bà Trần Thị Minh Loan,Bà Trần Thị Minh Loan,Bà Trần Thị Minh Loan,Thành viên (bố nhiệm ngày 07 tháng 9 năm 2022),
Ông Nguyễn Anh Tuân,Ông Nguyễn Anh Tuân,Ông Nguyễn Anh Tuân,Thành viên (miễn nhiệm ngày 07 tháng 9 năm 2022),
Bà Đỗ Thị Phương Lan,Bà Đỗ Thị Phương Lan,Bà Đỗ Thị Phương Lan,Thành viên (miễn nhiệm ngày 26 tháng 4 năm 2022),
