row_label_raw,row_label_full,col_0,Nhóm bất động sản và xây dựng,"Nhóm kính, gương","Nhóm sır, sen vòi và phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Bộ phận khác,Loại trừ nội bộ,Tổng cộng các bộ phận,numeric__Nhóm bất động sản và xây dựng,"numeric__Nhóm kính, gương","numeric__Nhóm sır, sen vòi và phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Bộ phận khác,numeric__Loại trừ nội bộ,numeric__Tổng cộng các bộ phận
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,17.215.842.404.790,4.271.215.234.831,1.717.043.439.612,3.501.586.648.281,1.094.116.003.829,87.226.164.904,(5.630.497.999.350),22.256.531.896.897702.389.512.399,17215842404790.0,4271215234831.0,1717043439612.0,3501586648281.0,1094116003829.0,87226164904.0,-5630497999350.0,2.2256531896897702e+25
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,,,,,,,,
Tổng tài sản,Tài sản không phân bổ > Tổng tài sản,Tổng tài sản,17.215.842.404.790,4.271.215.234.831,1.717.043.439.612,3.501.586.648.281,1.094.116.003.829,87.226.164.904,(5.630.497.999.350),22.958.921.409.296,17215842404790.0,4271215234831.0,1717043439612.0,3501586648281.0,1094116003829.0,87226164904.0,-5630497999350.0,22958921409296.0
Nợ phải trả của các bộ phân,Tài sản không phân bổ > Nợ phải trả của các bộ phân,Nợ phải trả của các bộ phân,(12.500.433.510.263),(2.700.349.160.561),(1.505.578.683.036),(2.703.987.667.864),(532.962.982.701),(52.383.555.190),34.013.610.576.579,14.017.915.016.964,-12500433510263.0,-2700349160561.0,-1505578683036.0,-2703987667864.0,-532962982701.0,-52383555190.0,34013610576579.0,14017915016964.0
Nợ phải trả không phân bổ,Tài sản không phân bổ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,(144.422.683.836),,,,,,,,-144422683836.0
Tổng nợ phải trả,Tài sản không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,(12.500.433.510.263),(2.700.349.160.561),(1.505.578.683.036),(2.703.987.667.864),(532.962.982.701),(52.383.555.190),34.013.610.576.579,13.873.492.333.128,-12500433510263.0,-2700349160561.0,-1505578683036.0,-2703987667864.0,-532962982701.0,-52383555190.0,34013610576579.0,13873492333128.0
Kết quả hoạt động sản xuất kinh doanh hợp nhất,Kết quả hoạt động sản xuất kinh doanh hợp nhất,Kết quả hoạt động sản xuất kinh doanh hợp nhất,Kết quả hoạt động sản xuất kinh doanh hợp nhất,Kết quả hoạt động sản xuất kinh doanh hợp nhất,Kết quả hoạt động sản xuất kinh doanh hợp nhất,Kết quả hoạt động sản xuất kinh doanh hợp nhất,Kết quả hoạt động sản xuất kinh doanh hợp nhất,Kết quả hoạt động sản xuất kinh doanh hợp nhất,Kết quả hoạt động sản xuất kinh doanh hợp nhất,Kết quả hoạt động sản xuất kinh doanh hợp nhất,,,,,,,,
,,,Nhóm bất động sản và xây dựng,"Nhóm kính, gương","Nhóm sır, sen vòi và phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Bộ phận khác,Loại trừ nội bộ,Tổng cộng các bộ phận,,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,4.976.003.860.290,2.910.105.501.268,1.088.757.239.217,3.571.517.752.125,1.694.962.944.106,351.102.564.971,,14.592.449.861.977,4976003860290.0,2910105501268.0,1088757239217.0,3571517752125.0,1694962944106.0,351102564971.0,,14592449861977.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,158.309.219.318,83.456.926.703,1.248.000.873.543,3.266.806.319.176,7.083.590.212,362.767.406.384,(5.126.424.335.336),,158309219318.0,83456926703.0,1248000873543.0,3266806319176.0,7083590212.0,362767406384.0,-5126424335336.0,
