row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
Sacmi Imola S.C,Sacmi Imola S.C,Sacmi Imola S.C,78.379.161.300,78.379.161.300,-,-,78379161300.0,78379161300.0,,
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,64.570.419.633,64.570.419.633,12.759.048.250,12.759.048.250,64570419633.0,64570419633.0,12759048250.0,12759048250.0
Công ty TNHH Thiết bị Hệ thống L.P.G,Công ty TNHH Thiết bị Hệ thống L.P.G,Công ty TNHH Thiết bị Hệ thống L.P.G,42.621.511.925,42.621.511.925,42.790.413.623,42.790.413.623,42621511925.0,42621511925.0,42790413623.0,42790413623.0
Công ty TNHH Khai thác và Xây dựng Công nghiệp Trung Nguyên,Công ty TNHH Khai thác và Xây dựng Công nghiệp Trung Nguyên,Công ty TNHH Khai thác và Xây dựng Công nghiệp Trung Nguyên,37.959.554.099,37.959.554.099,-,-,37959554099.0,37959554099.0,,
Công ty TNHH Long Đại Thắng,Công ty TNHH Long Đại Thắng,Công ty TNHH Long Đại Thắng,37.623.492.610,37.623.492.610,13.701.032.070,13.701.032.070,37623492610.0,37623492610.0,13701032070.0,13701032070.0
Công ty Cổ phần Đầu tư Xây dựng Phát triển Năng lượng Việt Nam,Công ty Cổ phần Đầu tư Xây dựng Phát triển Năng lượng Việt Nam,Công ty Cổ phần Đầu tư Xây dựng Phát triển Năng lượng Việt Nam,35.118.608.291,35.118.608.291,33.676.493.400,33.676.493.400,35118608291.0,35118608291.0,33676493400.0,33676493400.0
Công ty TNHH Đầu tư Xây dựng UNICONS,Công ty TNHH Đầu tư Xây dựng UNICONS,Công ty TNHH Đầu tư Xây dựng UNICONS,30.212.453.303,30.212.453.303,46.362.981.159,46.362.981.159,30212453303.0,30212453303.0,46362981159.0,46362981159.0
Công ty TNHH Xây dựng Tiên Du,Công ty TNHH Xây dựng Tiên Du,Công ty TNHH Xây dựng Tiên Du,26.203.441.550,26.203.441.550,18.538.553.540,18.538.553.540,26203441550.0,26203441550.0,18538553540.0,18538553540.0
Công ty Cổ phần Xây dựng Bắc Ninh,Công ty Cổ phần Xây dựng Bắc Ninh,Công ty Cổ phần Xây dựng Bắc Ninh,21.927.044.130,21.927.044.130,-,-,21927044130.0,21927044130.0,,
Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,Công ty TNHH Đầu tư Xây dựng và Công nghệ Môi trường Dương Nhật,21.437.818.759,21.437.818.759,4.242.427.000,4.242.427.000,21437818759.0,21437818759.0,4242427000.0,4242427000.0
Công ty Cổ phần Phân phối Khí thấp áp Dầu Khí Việt Nam - Xí nghiệp Phân phối Khí thấp áp Vũng Tàu,Công ty Cổ phần Phân phối Khí thấp áp Dầu Khí Việt Nam - Xí nghiệp Phân phối Khí thấp áp Vũng Tàu,Công ty Cổ phần Phân phối Khí thấp áp Dầu Khí Việt Nam - Xí nghiệp Phân phối Khí thấp áp Vũng Tàu,20.717.364.772,20.717.364.772,8.209.689.266,8.209.689.266,20717364772.0,20717364772.0,8209689266.0,8209689266.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,1.173.666.235.582,1.173.666.235.582,1.123.977.856.580,1.123.977.856.580,1173666235582.0,1173666235582.0,1123977856580.0,1123977856580.0
,,,1.590.437.105.954,1.590.437.105.954,1.304.258.494.888,1.304.258.494.888,1590437105954.0,1590437105954.0,1304258494888.0,1304258494888.0
Trong đó: Phải trả người bán ngắn hạn là các bên liên quan(Chi tiết tại Thuyết minh số 42),Trong đó: Phải trả người bán ngắn hạn là các bên liên quan(Chi tiết tại Thuyết minh số 42),Trong đó: Phải trả người bán ngắn hạn là các bên liên quan(Chi tiết tại Thuyết minh số 42),65.550.786.231,65.550.786.231,12.825.540.753,12.825.540.753,65550786231.0,65550786231.0,12825540753.0,12825540753.0
