row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.915.804.148.013,6.340.894.766.170,276.616.899.172,24.859.003.439,183.269.044.741,10.741.443.861.535,3915804148013.0,6340894766170.0,276616899172.0,24859003439.0,183269044741.0,10741443861535.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,5.036.698.642,19.729.606.886,7.311.662.011,1.385.604.906,1.759.122.727,35.222.695.172,5036698642.0,19729606886.0,7311662011.0,1385604906.0,1759122727.0,35222695172.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,356.727.774.990,367.071.814.855,-,43.545.455,1.257.429.636,725.100.564.936,356727774990.0,367071814855.0,,43545455.0,1257429636.0,725100564936.0
Tăng từ tài sản cố định thuê tài chính,NGUYÊN GIÁ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,88.481.487.548,12.642.301.454,-,-,101.123.789.002,,88481487548.0,12642301454.0,,,101123789002.0
(Giảm)/Tăng do quyết toán,NGUYÊN GIÁ > (Giảm)/Tăng do quyết toán,(Giảm)/Tăng do quyết toán,(1.982.302.006),(6.966.261.844),166.063,-,-,(8.948.397.787),-1982302006.0,-6966261844.0,166063.0,,,-8948397787.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(11.130.274.544),15.900.637.501,(7.034.554.415),2.264.191.458,-,-,-11130274544.0,15900637501.0,-7034554415.0,2264191458.0,,
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.892.922.250),(13.966.075.168),(4.588.620.760),(594.258.952),-,(28.041.877.130),-8892922250.0,-13966075168.0,-4588620760.0,-594258952.0,,-28041877130.0
Bán và tái thuê tài chính,NGUYÊN GIÁ > Bán và tái thuê tài chính,Bán và tái thuê tài chính,-,(71.313.901.916),(2.338.063.492),-,-,(73.651.965.408),,-71313901916.0,-2338063492.0,,,-73651965408.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,1.255.795.760,488.420.299,-,1.089.310,1.745.305.369,,1255795760.0,488420299.0,,1089310.0,1745305369.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,4.255.563.122.845,6.741.087.869.792,283.098.210.332,27.958.086.306,186.286.686.414,11.493.993.975.689,4255563122845.0,6741087869792.0,283098210332.0,27958086306.0,186286686414.0,11493993975689.0
