row_label_raw,row_label_full,col_0,Số đã báo cáo,Số điều chỉnh so với số đã báo cáo,Số trình bày lại,numeric__Số đã báo cáo,numeric__Số điều chỉnh so với số đã báo cáo,numeric__Số trình bày lại
Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp (VND),Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp (VND),Lợi nhuận kế toán sau thuế thu nhập doanh nghiệp (VND),1.223.652.102.467,-,1.223.652.102.467,1223652102467.0,,1223652102467.0
"Trích quỹ khen thưởng, phúc lợi (VND)","Trích quỹ khen thưởng, phúc lợi (VND)","Trích quỹ khen thưởng, phúc lợi (VND)",-,(95.133.485.942),(95.133.485.942),,-95133485942.0,-95133485942.0
Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),Lợi nhuận phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (VND),1.223.652.102.467,(95.133.485.942),1.128.518.616.525,1223652102467.0,-95133485942.0,1128518616525.0
Cổ phiếu phổ thông đang lưu hành bình quân trong năm (Cổ phiếu),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (Cổ phiếu),Cổ phiếu phổ thông đang lưu hành bình quân trong năm (Cổ phiếu),448.350.000,-,448.350.000,448350000.0,,448350000.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),2.729,,2.517,2729.0,,2517.0
