row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu,Số cuối năm > VND Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu_1,Số đầu năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Giá trị theo phương pháp vốn chủ sở hữu_1,numeric__Số đầu năm > VND Giá trị hợp lý
- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,- Đầu tư vào công ty liên doanh,412.967.020.560,581.902.500.311,,412.967.020.560,503.567.077.112,,412967020560.0,581902500311.0,,412967020560.0,503567077112.0,
Công ty TNHH Kính nối Việt Nam (i),Công ty TNHH Kính nối Việt Nam (i),Công ty TNHH Kính nối Việt Nam (i),286.821.000.000,449.978.664.867,,286.821.000.000,374.921.700.526,,286821000000.0,449978664867.0,,286821000000.0,374921700526.0,
Công ty SanVig - CTCP (i),Công ty SanVig - CTCP (i),Công ty SanVig - CTCP (i),126.146.020.560,131.923.835.444,,126.146.020.560,128.645.376.586,,126146020560.0,131923835444.0,,126146020560.0,128645376586.0,
- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,- Đầu tư vào công ty liên kết,82.747.792.337,98.385.053.299,,80.247.792.337,106.417.176.408,,82747792337.0,98385053299.0,,80247792337.0,106417176408.0,
Công ty Cổ phần Gạch ngói Từ Sơn (ii),Công ty Cổ phần Gạch ngói Từ Sơn (ii),Công ty Cổ phần Gạch ngói Từ Sơn (ii),4.837.506.400,6.235.377.001,12.218.444.000,4.837.506.400,8.054.298.475,7.680.164.800,4837506400.0,6235377001.0,12218444000.0,4837506400.0,8054298475.0,7680164800.0
Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),Công ty Cổ phần Gốm Xây dựng Yên Hưng (ii),2.002.000.000,-,4.342.000.000,2.002.000.000,-,4.680.000.000,2002000000.0,,4342000000.0,2002000000.0,,4680000000.0
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera (i),9.289.858.320,10.009.167.925,,6.789.858.320,7.291.280.662,,9289858320.0,10009167925.0,,6789858320.0,7291280662.0,
Công ty Cổ phần Gạch chịu lửa Cầu Dương (i),Công ty Cổ phần Gạch chịu lửa Cầu Dương (i),Công ty Cổ phần Gạch chịu lửa Cầu Dương (i),3.482.862.617,1.798.623.289,,3.482.862.617,1.671.691.277,,3482862617.0,1798623289.0,,3482862617.0,1671691277.0,
Công ty Cổ phần Viglacera Hạ Long II (i),Công ty Cổ phần Viglacera Hạ Long II (i),Công ty Cổ phần Viglacera Hạ Long II (i),22.000.000.000,18.605.103.062,,22.000.000.000,23.145.345.411,,22000000000.0,18605103062.0,,22000000000.0,23145345411.0,
Công ty Cổ phần Viglacera Đông Triều (iii),Công ty Cổ phần Viglacera Đông Triều (iii),Công ty Cổ phần Viglacera Đông Triều (iii),40.000.000.000,60.684.194.278,52.000.000.000,40.000.000.000,65.201.972.839,48.400.000.000,40000000000.0,60684194278.0,52000000000.0,40000000000.0,65201972839.0,48400000000.0
Công ty Cổ phần Vinafacade (i),Công ty Cổ phần Vinafacade (i),Công ty Cổ phần Vinafacade (i),909.380.000,826.402.744,,909.380.000,826.402.744,,909380000.0,826402744.0,,909380000.0,826402744.0,
Công ty Magno GMBH (i),Công ty Magno GMBH (i),Công ty Magno GMBH (i),226.185.000,226.185.000,,226.185.000,226.185.000,,226185000.0,226185000.0,,226185000.0,226185000.0,
,,,495.714.812.897,680.287.553.610,,493.214.812.897,609.984.253.520,,495714812897.0,680287553610.0,,493214812897.0,609984253520.0,
