row_label_raw,row_label_full,Loại vay ngắn hạn,Lãi suất vay,Số dư vay đầu năm,Số vay trong năm,Số trả trong năm,Số dư cuối năm,numeric__Lãi suất vay,numeric__Số dư vay đầu năm,numeric__Số vay trong năm,numeric__Số trả trong năm,numeric__Số dư cuối năm
,,,,,,,-,,,,,
Vay MSB HS (22/12/2020 - 20/01/2021),Vay MSB HS (22/12/2020 - 20/01/2021),Vay MSB HS (22/12/2020 - 20/01/2021),"5,20%",200.000.000.000,,200.000.000.000,-,0.052000000000000005,200000000000.0,,200000000000.0,
Vay MSB HS (21/01/2021 -19/02/2021),Vay MSB HS (21/01/2021 -19/02/2021),Vay MSB HS (21/01/2021 -19/02/2021),"5,50%",,200.000.000.000,200.000.000.000,-,0.055,,200000000000.0,200000000000.0,
Vay MSB HS (22/02/2021 - 3/03/2021),Vay MSB HS (22/02/2021 - 3/03/2021),Vay MSB HS (22/02/2021 - 3/03/2021),"5,50%",,200.000.000.000,200.000.000.000,-,0.055,,200000000000.0,200000000000.0,
Vay MSB HS (24/03/2021 - 22/04/2021),Vay MSB HS (24/03/2021 - 22/04/2021),Vay MSB HS (24/03/2021 - 22/04/2021),"5,50%",,200.000.000.000,200.000.000.000,-,0.055,,200000000000.0,200000000000.0,
Vay MSB HS (23/04/2021 - 21/05/2021),Vay MSB HS (23/04/2021 - 21/05/2021),Vay MSB HS (23/04/2021 - 21/05/2021),"5,50%",,200.000.000.000,200.000.000.000,-,0.055,,200000000000.0,200000000000.0,
Vay MSB HS (08/06/2021 -07/07/2021),Vay MSB HS (08/06/2021 -07/07/2021),Vay MSB HS (08/06/2021 -07/07/2021),"6,00%",,200.000.000.000,200.000.000.000,-,0.06,,200000000000.0,200000000000.0,
Vay MSB HS (08/07/2021 -06/08/2021),Vay MSB HS (08/07/2021 -06/08/2021),Vay MSB HS (08/07/2021 -06/08/2021),"6,50%",,200.000.000.000,200.000.000.000,-,0.065,,200000000000.0,200000000000.0,
Vay MSB HS (09/08/2021 -07/09/2021),Vay MSB HS (09/08/2021 -07/09/2021),Vay MSB HS (09/08/2021 -07/09/2021),"6,00%",,200.000.000.000,200.000.000.000,-,0.06,,200000000000.0,200000000000.0,
Vay MSB HS (08/09/2021 -07/09/2021),Vay MSB HS (08/09/2021 -07/09/2021),Vay MSB HS (08/09/2021 -07/09/2021),"6,00%",,250.000.000.000,250.000.000.000,-,0.06,,250000000000.0,250000000000.0,
Vay MSB HS (15/10/2021 -12/11/2021),Vay MSB HS (15/10/2021 -12/11/2021),Vay MSB HS (15/10/2021 -12/11/2021),"6,50%",,250.000.000.000,250.000.000.000,-,0.065,,250000000000.0,250000000000.0,
Vay MSB HS (18/10/2021 -17/12/2021),Vay MSB HS (18/10/2021 -17/12/2021),Vay MSB HS (18/10/2021 -17/12/2021),"6,50%",,250.000.000.000,250.000.000.000,-,0.065,,250000000000.0,250000000000.0,
Vay MSB HS (17/12/2021 - 14/01/2022),Vay MSB HS (17/12/2021 - 14/01/2022),Vay MSB HS (17/12/2021 - 14/01/2022),"6,50%",,200.000.000.000,,200.000.000.000,0.065,,200000000000.0,,200000000000.0
,,,,,,,-,,,,,
Vay VIB (03/11/2020 - 03/05/2021),Vay VIB (03/11/2020 - 03/05/2021),Vay VIB (03/11/2020 - 03/05/2021),"5,50%",50.000.000.000,,50.000.000.000,-,0.055,50000000000.0,,50000000000.0,
Vay VIB (01/02/2021 - 05/03/2021),Vay VIB (01/02/2021 - 05/03/2021),Vay VIB (01/02/2021 - 05/03/2021),"5,50%",,25.000.000.000,25.000.000.000,-,0.055,,25000000000.0,25000000000.0,
Vay VIB (26/03/2021 - 26/05/2021),Vay VIB (26/03/2021 - 26/05/2021),Vay VIB (26/03/2021 - 26/05/2021),"5,50%",,25.000.000.000,25.000.000.000,-,0.055,,25000000000.0,25000000000.0,
Vay VIB (19/07/2021 - 28/10/2021),Vay VIB (19/07/2021 - 28/10/2021),Vay VIB (19/07/2021 - 28/10/2021),"6,00%",,75.000.000.000,75.000.000.000,-,0.06,,75000000000.0,75000000000.0,
Vay VIB (15/09/2021 - 01/12/2021),Vay VIB (15/09/2021 - 01/12/2021),Vay VIB (15/09/2021 - 01/12/2021),"5,95%",,75.000.000.000,75.000.000.000,-,0.059500000000000004,,75000000000.0,75000000000.0,
Vay VIB (28/10/2021 - 26/01/2022),Vay VIB (28/10/2021 - 26/01/2022),Vay VIB (28/10/2021 - 26/01/2022),"6,50%",,75.000.000.000,,75.000.000.000,0.065,,75000000000.0,,75000000000.0
Vay VIB (02/12/2021 - 02/03/2022),Vay VIB (02/12/2021 - 02/03/2022),Vay VIB (02/12/2021 - 02/03/2022),"6,80%",,75.000.000.000,,75.000.000.000,0.068,,75000000000.0,,75000000000.0
,,,,,,,-,,,,,
Vay VCB Thanh Xuân (21/12/2020 - 22/03/2021),Vay VCB Thanh Xuân (21/12/2020 - 22/03/2021),Vay VCB Thanh Xuân (21/12/2020 - 22/03/2021),"4,20%",99.000.000.000,,99.000.000.000,-,0.042,99000000000.0,,99000000000.0,
Vay VCB Thanh Xuân (22/03/2021 - 23/06/2021),Vay VCB Thanh Xuân (22/03/2021 - 23/06/2021),Vay VCB Thanh Xuân (22/03/2021 - 23/06/2021),"4,20%",,99.000.000.000,99.000.000.000,-,0.042,,99000000000.0,99000000000.0,
Vay VCB Thanh Xuân (31/05/2021 - 31/08/2021),Vay VCB Thanh Xuân (31/05/2021 - 31/08/2021),Vay VCB Thanh Xuân (31/05/2021 - 31/08/2021),"4,30%",,18.000.000.000,18.000.000.000,-,0.043,,18000000000.0,18000000000.0,
Vay VCB Thanh Xuân (22/06/2021 - 16/12/2021),Vay VCB Thanh Xuân (22/06/2021 - 16/12/2021),Vay VCB Thanh Xuân (22/06/2021 - 16/12/2021),"4,50%",,230.000.000.000,230.000.000.000,-,0.045,,230000000000.0,230000000000.0,
Vay VCB Thanh Xuân (24/06/2021 - 21/09/2021),Vay VCB Thanh Xuân (24/06/2021 - 21/09/2021),Vay VCB Thanh Xuân (24/06/2021 - 21/09/2021),"4,30%",,99.000.000.000,99.000.000.000,-,0.043,,99000000000.0,99000000000.0,
Vay VCB Thanh Xuân (07/09/2021 - 06/12/2021),Vay VCB Thanh Xuân (07/09/2021 - 06/12/2021),Vay VCB Thanh Xuân (07/09/2021 - 06/12/2021),"4,30%",,18.000.000.000,18.000.000.000,-,0.043,,18000000000.0,18000000000.0,
Vay VCB Thanh Xuân (22/09/2021 - 14/12/2021),Vay VCB Thanh Xuân (22/09/2021 - 14/12/2021),Vay VCB Thanh Xuân (22/09/2021 - 14/12/2021),"4,50%",,119.000.000.000,119.000.000.000,-,0.045,,119000000000.0,119000000000.0,
Vay VCB Thanh Xuân (14/12/2021 - 30/12/2021),Vay VCB Thanh Xuân (14/12/2021 - 30/12/2021),Vay VCB Thanh Xuân (14/12/2021 - 30/12/2021),"5,50%",,119.000.000.000,119.000.000.000,-,0.055,,119000000000.0,119000000000.0,
Vay VCB Thanh Xuân (16/12/2021 - 13/06/2022),Vay VCB Thanh Xuân (16/12/2021 - 13/06/2022),Vay VCB Thanh Xuân (16/12/2021 - 13/06/2022),"5,50%",,230.000.000.000,,230.000.000.000,0.055,,230000000000.0,,230000000000.0
Vay VCB Thanh Xuân (30/12/2021 - 30/06/2022),Vay VCB Thanh Xuân (30/12/2021 - 30/06/2022),Vay VCB Thanh Xuân (30/12/2021 - 30/06/2022),"5,50%",,100.000.000.000,,100.000.000.000,0.055,,100000000000.0,,100000000000.0
,,,,,,,-,,,,,
Vay Wooribank (13/05/20 - 13/11/2020),Vay Wooribank (13/05/20 - 13/11/2020),Vay Wooribank (13/05/20 - 13/11/2020),"5,00%",,,,-,0.05,,,,
