row_label_raw,row_label_full,A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tư,A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tư_1,A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tư_2,numeric__A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tư_1,numeric__A.7.18. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch của Nhà đầu tư_2
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Số cuối năm,Số đầu năm,,
"1. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng","Tài sản tài chính > 1. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng","1. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng",11.603.420.000,8.549.090.000,11603420000.0,8549090000.0
"2. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng","Tài sản tài chính > 2. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng","2. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng",223.975.260.000,90.813.820.000,223975260000.0,90813820000.0
"3. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cảm có","3. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cảm có","3. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cảm có",,,,
"4. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong toa, tạm giữ","4. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong toa, tạm giữ","4. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong toa, tạm giữ",,,,
Cộng,"4. Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong toa, tạm giữ > Cộng",Cộng,235.578.680.000,99.362.910.000,235578680000.0,99362910000.0
A.7.19. Tài sản tài chính chờ về của Nhà đầu tư,A.7.19. Tài sản tài chính chờ về của Nhà đầu tư,A.7.19. Tài sản tài chính chờ về của Nhà đầu tư,A.7.19. Tài sản tài chính chờ về của Nhà đầu tư,A.7.19. Tài sản tài chính chờ về của Nhà đầu tư,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính chờ về của Nhà đầu tư,Tài sản tài chính > Tài sản tài chính chờ về của Nhà đầu tư,Tài sản tài chính chờ về của Nhà đầu tư,775.061.910.500,752.515.068.130,775061910500.0,752515068130.0
Cộng,Tài sản tài chính > Cộng,Cộng,775.061.910.500,752.515.068.130,775061910500.0,752515068130.0
A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.20. Tài sản tài chính được hưởng quyền của Nhà đầu tư,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính được hưởng quyền của Nhà đầu tư,Tài sản tài chính > Tài sản tài chính được hưởng quyền của Nhà đầu tư,Tài sản tài chính được hưởng quyền của Nhà đầu tư,39.910.290.000,35.172.740.000,39910290000.0,35172740000.0
Cộng,Tài sản tài chính > Cộng,Cộng,39.910.290.000,35.172.740.000,39910290000.0,35172740000.0
