row_label_raw,row_label_full,STT,Loại chi phí,Năm nay,Năm trước,numeric__Loại chi phí,numeric__Năm nay,numeric__Năm trước
1,1,1,Chi phí nghiệp vụ môi giới chứng khoán,257.085.484.811,102.339.002.825,,257085484811.0,102339002825.0
2,2,2,"Chi phí nghiệp vụ báo lãnh, đại lý phát hành chứng khoán",,,,,
3,2 > 3,3,Chi phí nghiệp vụ tư vấn đầu tư chứng khoán,4.113.421.820,524.976.743,,4113421820.0,524976743.0
4,2 > 4,4,Chi phí nghiệp vụ lưu ký chứng khoán,14.984.958.777,11.944.280.170,,14984958777.0,11944280170.0
5,2 > 5,5,Chi phí hoạt động tư vấn tài chính,10.866.980.754,8.851.159.688,,10866980754.0,8851159688.0
6,6,6,Chi phí các dịch vụ tài chính khác,,,,,
7,7,7,"Chi phí cho thuê, sử dụng tài sản",,,,,
8,8,8,"Chi phí trả hộ gốc, lãi trái phiếu cho Tổ chức phát hành",,,,,
9,9,9,Chi phí dịch vụ khác,,,,,
10,9 > 10,10,"Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi và lỗ suy giảm tài sản tài chính và chi phí đi vay của các khoản cho vay",61.272.052.054,19.575.194.161,,61272052054.0,19575194161.0
Công,9 > Công,Công,Công,348.322.898.216,143.234.613.587,,348322898216.0,143234613587.0
