row_label_raw,row_label_full,CHỈ TIÊU,TM,Số dư đầu năm > Năm trước,Số dư đầu năm > Năm nay,Số tăng/ giảm trong năm > Năm trước > Tăng,Số tăng/ giảm trong năm > Năm trước > Giảm,Số tăng/ giảm trong năm > Năm nay > Tăng,Số tăng/ giảm trong năm > Năm nay > Giảm,Số dư cuối năm > Năm trước,Số dư cuối năm > Năm nay,numeric__TM,numeric__Số dư đầu năm > Năm trước,numeric__Số dư đầu năm > Năm nay,numeric__Số tăng/ giảm trong năm > Năm trước > Tăng,numeric__Số tăng/ giảm trong năm > Năm trước > Giảm,numeric__Số tăng/ giảm trong năm > Năm nay > Tăng,numeric__Số tăng/ giảm trong năm > Năm nay > Giảm,numeric__Số dư cuối năm > Năm trước,numeric__Số dư cuối năm > Năm nay
A,A,A,B,1,2,3,4,5,6,7,8,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. Biến động vốn chủ sở hữu,I. Biến động vốn chủ sở hữu,I. Biến động vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. Biến động vốn chủ sở hữu > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,,1.404.110.636.400,1.404.111.445.700,120.225.809.300,120.225.000.000,152.614.248.250,81.144.837.650,1.404.111.445.700,1.475.580.856.300,,1404110636400.0,1404111445700.0,120225809300.0,120225000000.0,152614248250.0,81144837650.0,1404111445700.0,1475580856300.0
1.1. Cổ phiếu phổ thông có quyền biểu quyết,I. Biến động vốn chủ sở hữu > 1.1. Cổ phiếu phổ thông có quyền biểu quyết,1.1. Cổ phiếu phổ thông có quyền biểu quyết,,1.202.440.510.000,1.322.673.490.000,120.232.980.000,,152.999.480.000,,1.322.673.490.000,1.475.672.970.000,,1202440510000.0,1322673490000.0,120232980000.0,,152999480000.0,,1322673490000.0,1475672970000.0
1.2. Cổ phiếu ưu đãi,1.2. Cổ phiếu ưu đãi,1.2. Cổ phiếu ưu đãi,,,,,,,,,,,,,,,,,,
1.3. Thặng dư vốn cổ phần (*),1.2. Cổ phiếu ưu đãi > 1.3. Thặng dư vốn cổ phần (*),1.3. Thặng dư vốn cổ phần (*),,201.678.133.850,81.443.997.650,,120.234.136.200,162.820.000,81.443.997.650,81.443.997.650,162.820.000,,201678133850.0,81443997650.0,,120234136200.0,162820000.0,81443997650.0,81443997650.0,162820000.0
1.4.Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,1.4.Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,1.4.Quyền chọn chuyển đổi trái phiếu - cấu phần vốn,,,,,,,,,,,,,,,,,,
1.5.Vốn khác của chủ sở hữu,1.5.Vốn khác của chủ sở hữu,1.5.Vốn khác của chủ sở hữu,,,,,,,,,,,,,,,,,,
1.6.Cổ phiếu quỹ,1.5.Vốn khác của chủ sở hữu > 1.6.Cổ phiếu quỹ,1.6.Cổ phiếu quỹ,,(8.007.450),(6.041.950),(7.170.700),(9.136.200),(548.051.750),(299.160.000),(6.041.950),(254.933.700),,-8007450.0,-6041950.0,-7170700.0,-9136200.0,-548051750.0,-299160000.0,-6041950.0,-254933700.0
2. Quỹ dự trữ vốn điều lệ,1.5.Vốn khác của chủ sở hữu > 2. Quỹ dự trữ vốn điều lệ,2. Quỹ dự trữ vốn điều lệ,,69.718.084.750,79.358.651.981,9.640.567.231,,10.009.834.811,,79.358.651.981,89.368.486.792,,69718084750.0,79358651981.0,9640567231.0,,10009834811.0,,79358651981.0,89368486792.0
