row_label_raw,row_label_full,STT,Các loại doanh thu hoạt động khác,Năm nay,Năm trước,numeric__Các loại doanh thu hoạt động khác,numeric__Năm nay,numeric__Năm trước
1,1,1,Doanh thu đại lý đấu giá,5.005.800,894.556,,5005800.0,894556.0
2,2,2,"Doanh thu từ trả hộ gốc, lãi trái phiếu và cổ tức của TCPH",77.500.000,59.250.000,,77500000.0,59250000.0
3,3,3,Phí quản lý tài sản cảm cố,132.043.900,40.000.000,,132043900.0,40000000.0
4,4,4,Doanh thu khác,43.200.000,,,43200000.0,
Công,Công,Công,Công,257.749.700,100.144.556,,257749700.0,100144556.0
