row_label_raw,row_label_full,A.7.1. Tiền và các khoản tương đương tiền,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
- Tiền mặt tại quỹ,- Tiền mặt tại quỹ,- Tiền mặt tại quỹ,151.292.071,141.285.440,151292071.0,141285440.0
- Tiền gửi ngân hàng cho hoạt động CTCK,- Tiền gửi ngân hàng cho hoạt động CTCK,- Tiền gửi ngân hàng cho hoạt động CTCK,1.798.685.395.975,96.224.004.540,1798685395975.0,96224004540.0
- Các khoản tương đương tiền,- Các khoản tương đương tiền,- Các khoản tương đương tiền,70.000.000.000,110.000.000.000,70000000000.0,110000000000.0
Công,Công,Công,1.868.836.688.046,206.365.289.980,1868836688046.0,206365289980.0
