row_label_raw,row_label_full,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty cổ phần Công nghiệp Tàu thủy Shinnec,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty cổ phần Công nghiệp Tàu thủy Shinnec,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty cổ phần Công nghiệp Tàu thủy Shinnec,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty cổ phần Công nghiệp Tàu thủy Shinnec,172.000.000,172.000.000,172000000.0,172000000.0
Cộng,Cộng,Cộng,172.000.000,172.000.000,172000000.0,172000000.0
A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính,A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính,A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
1.Tài sản tài chính giao dịch tự do chuyển nhượng,A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính > 1.Tài sản tài chính giao dịch tự do chuyển nhượng,1.Tài sản tài chính giao dịch tự do chuyển nhượng,9.835.300.000,9.519.000.000,9835300000.0,9519000000.0
2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính > 2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,,680.000,,680000.0
Cộng,A.7.13. Tài sản tài chính niêm yết/đăng ký giao dịch của CTCKTài sản tài chính > Cộng,Cộng,9.835.300.000,9.519.680.000,9835300000.0,9519680000.0
A.7.14. Tài sản tài chính chờ về của CTCKTài sản tài chính,A.7.14. Tài sản tài chính chờ về của CTCKTài sản tài chính,A.7.14. Tài sản tài chính chờ về của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính chờ về của CTCK,A.7.14. Tài sản tài chính chờ về của CTCKTài sản tài chính > Tài sản tài chính chờ về của CTCK,Tài sản tài chính chờ về của CTCK,291.050.000,47.050.000,291050000.0,47050000.0
Cộng,A.7.14. Tài sản tài chính chờ về của CTCKTài sản tài chính > Cộng,Cộng,291.050.000,47.050.000,291050000.0,47050000.0
A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính,A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính,A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính giao dịch tự do chuyển nhượng của CTCK - OTC,A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính > Tài sản tài chính giao dịch tự do chuyển nhượng của CTCK - OTC,Tài sản tài chính giao dịch tự do chuyển nhượng của CTCK - OTC,2.673.640.000,2.671.550.000,2673640000.0,2671550000.0
