row_label_raw,row_label_full,STT,Các giao dịch và các khoản tiền,Năm nay,Năm trước,numeric__Các giao dịch và các khoản tiền,numeric__Năm nay,numeric__Năm trước
A,A,A,B,1,2,,1.0,2.0
,,,Tiền gửi ngân hàng cuối năm,,,,,
,,,-Tiền gửi của Nhà đầu tư về giao dịch chứng khoán theo phương thức CTCK quản lý,4.569.163.013.911,3.057.660.225.224,,4569163013911.0,3057660225224.0
,,,-Tiền gửi của Tổ chức phát hành,2.544.642.150,11.396.603.739,,2544642150.0,11396603739.0
,,,Tổng,4.571.707.656.061,3.069.056.828.963,,4571707656061.0,3069056828963.0
