row_label_raw,row_label_full,STT,Loại chi phí quản lý CTCK,Năm nay,Năm trước,numeric__Loại chi phí quản lý CTCK,numeric__Năm nay,numeric__Năm trước
1,1,1,Chi phí lương và khác khoản khác theo lương,30.686.828.047,26.189.738.031,,30686828047.0,26189738031.0
2,2,2,"BHXH, BHYT, KPCĐ, BHTN",2.187.576.950,2.243.013.200,,2187576950.0,2243013200.0
3,3,3,Chi phí đào tạo tuyển dụng,128.044.793,127.785.739,,128044793.0,127785739.0
4,4,4,Chi phí vật tư văn phòng,2.146.805.011,836.701.127,,2146805011.0,836701127.0
5,5,5,"Chi phí công cụ, dụng cụ",,,,,
6,5 > 6,6,Chi phí khấu hao TSCĐ,10.332.958.559,9.336.690.622,,10332958559.0,9336690622.0
7,5 > 7,7,"Chi phí thuế, phí và lệ phí",18.769.068,18.844.068,,18769068.0,18844068.0
8,8,8,Chi phí dự phòng và hoàn nhập dự phòng,,,,,
9,8 > 9,9,Chi phí dịch vụ mua ngoài,13.676.572.565,13.370.709.315,,13676572565.0,13370709315.0
10,8 > 10,10,Chi phí khác,1.086.266.461,1.070.916.302,,1086266461.0,1070916302.0
,,,Cộng,60.263.821.454,53.194.398.404,,60263821454.0,53194398404.0
