row_label_raw,row_label_full,A.7.29. Phải trả Nhà đầu tưLoại phải trả,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
1.Phải trả Nhà đầu tư - Tiền gửi của Nhà đầu tư về tiền gửi giao dịch chứng khoán theo phương thức CTCK quản lý,1.Phải trả Nhà đầu tư - Tiền gửi của Nhà đầu tư về tiền gửi giao dịch chứng khoán theo phương thức CTCK quản lý,1.Phải trả Nhà đầu tư - Tiền gửi của Nhà đầu tư về tiền gửi giao dịch chứng khoán theo phương thức CTCK quản lý,4.569.163.013.911,3.057.660.225.224,4569163013911.0,3057660225224.0
1.1. Của Nhà đầu tư trong nước,1.1. Của Nhà đầu tư trong nước,1.1. Của Nhà đầu tư trong nước,4.477.436.173.800,3.033.703.064.475,4477436173800.0,3033703064475.0
1.2. Của Nhà đầu tư nước ngoài,1.2. Của Nhà đầu tư nước ngoài,1.2. Của Nhà đầu tư nước ngoài,91.726.840.111,23.957.160.749,91726840111.0,23957160749.0
Cộng,Cộng,Cộng,4.569.163.013.911,3.057.660.225.224,4569163013911.0,3057660225224.0
A.7.30. Phải trả của Nhà đầu tư về dịch vụ cho CTCK,A.7.30. Phải trả của Nhà đầu tư về dịch vụ cho CTCK,A.7.30. Phải trả của Nhà đầu tư về dịch vụ cho CTCK,Số cuối năm,Số đầu năm,,
1.Phải trả phí môi giới chứng khoán,A.7.30. Phải trả của Nhà đầu tư về dịch vụ cho CTCK > 1.Phải trả phí môi giới chứng khoán,1.Phải trả phí môi giới chứng khoán,2.629.871.884,1.510.771.518,2629871884.0,1510771518.0
2.Phải trả phí lưu ký chứng khoán,2.Phải trả phí lưu ký chứng khoán,2.Phải trả phí lưu ký chứng khoán,,,,
3.Phải trả phí tư vấn đầu tư,3.Phải trả phí tư vấn đầu tư,3.Phải trả phí tư vấn đầu tư,,,,
Cộng,3.Phải trả phí tư vấn đầu tư > Cộng,Cộng,2.629.871.884,1.510.771.518,2629871884.0,1510771518.0
A.7.31. Phải trả vay CTCK của Nhà đầu tưCác khoản phải trả,A.7.31. Phải trả vay CTCK của Nhà đầu tưCác khoản phải trả,A.7.31. Phải trả vay CTCK của Nhà đầu tưCác khoản phải trả,Số cuối năm,Số đầu năm,,
1.Phải trả nghiệp vụ margin,1.Phải trả nghiệp vụ margin,1.Phải trả nghiệp vụ margin,,,,
2.Phải trả gốc margin,1.Phải trả nghiệp vụ margin > 2.Phải trả gốc margin,2.Phải trả gốc margin,5.007.231.899.294,2.223.220.795.799,5007231899294.0,2223220795799.0
2.1.Phải trả gốc margin của Nhà đầu tư trong nước,1.Phải trả nghiệp vụ margin > 2.1.Phải trả gốc margin của Nhà đầu tư trong nước,2.1.Phải trả gốc margin của Nhà đầu tư trong nước,5.007.231.899.294,2.223.220.795.799,5007231899294.0,2223220795799.0
2.2.Phải trả gốc margin của Nhà đầu tư nước ngoài,2.2.Phải trả gốc margin của Nhà đầu tư nước ngoài,2.2.Phải trả gốc margin của Nhà đầu tư nước ngoài,,,,
3.Phải trả lãi margin,2.2.Phải trả gốc margin của Nhà đầu tư nước ngoài > 3.Phải trả lãi margin,3.Phải trả lãi margin,12.192.054.557,3.385.641.825,12192054557.0,3385641825.0
3.1.Phải trả lãi margin của Nhà đầu tư trong nước,2.2.Phải trả gốc margin của Nhà đầu tư nước ngoài > 3.1.Phải trả lãi margin của Nhà đầu tư trong nước,3.1.Phải trả lãi margin của Nhà đầu tư trong nước,12.192.054.557,3.385.641.825,12192054557.0,3385641825.0
3.2.Phải trả lãi margin của Nhà đầu tư nước ngoài,3.2.Phải trả lãi margin của Nhà đầu tư nước ngoài,3.2.Phải trả lãi margin của Nhà đầu tư nước ngoài,,,,
4.Phải trả nghiệp vụ ứng trước tiền bán chứng khoán,3.2.Phải trả lãi margin của Nhà đầu tư nước ngoài > 4.Phải trả nghiệp vụ ứng trước tiền bán chứng khoán,4.Phải trả nghiệp vụ ứng trước tiền bán chứng khoán,1.247.127.325.377,256.126.301.541,1247127325377.0,256126301541.0
4.1.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán,3.2.Phải trả lãi margin của Nhà đầu tư nước ngoài > 4.1.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán,4.1.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán,1.246.417.686.632,255.727.112.342,1246417686632.0,255727112342.0
a.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư trong nước,3.2.Phải trả lãi margin của Nhà đầu tư nước ngoài > a.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư trong nước,a.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư trong nước,1.246.417.686.632,255.727.112.342,1246417686632.0,255727112342.0
b.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư nước ngoài,b.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư nước ngoài,b.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư nước ngoài,,,,
4.2.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán,b.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư nước ngoài > 4.2.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán,4.2.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán,709.638.745,399.189.199,709638745.0,399189199.0
a.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư trong nước,b.Phải trả gốc nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư nước ngoài > a.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư trong nước,a.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư trong nước,709.638.745,399.189.199,709638745.0,399189199.0
b.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư nước ngoài,b.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư nước ngoài,b.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư nước ngoài,,,,
5.Phải trả hoạt động giao dịch chứng khoán phải sinh,b.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư nước ngoài > 5.Phải trả hoạt động giao dịch chứng khoán phải sinh,5.Phải trả hoạt động giao dịch chứng khoán phải sinh,789.602.682,9.534.066,789602682.0,9534066.0
Cộng,b.Phải trả lãi nghiệp vụ ứng trước tiền bán chứng khoán của Nhà đầu tư nước ngoài > Cộng,Cộng,6.267.340.881.910,2.482.742.273.231,6267340881910.0,2482742273231.0
A.7.32. Lợi nhuận chưa phân phối,A.7.32. Lợi nhuận chưa phân phối,A.7.32. Lợi nhuận chưa phân phối,Số cuối năm,Số đầu năm,,
1.Lợi nhuận đã thực hiện chưa phân phối,A.7.32. Lợi nhuận chưa phân phối > 1.Lợi nhuận đã thực hiện chưa phân phối,1.Lợi nhuận đã thực hiện chưa phân phối,828.650.159.011,395.337.806.819,828650159011.0,395337806819.0
2.Lợi nhuận chưa thực hiện,A.7.32. Lợi nhuận chưa phân phối > 2.Lợi nhuận chưa thực hiện,2.Lợi nhuận chưa thực hiện,499.678.048.366,244.001.816.750,499678048366.0,244001816750.0
Cộng,A.7.32. Lợi nhuận chưa phân phối > Cộng,Cộng,1.328.328.207.377,639.339.623.569,1328328207377.0,639339623569.0
