row_label_raw,row_label_full,Tên đơn vị,Số lượng cổ phần sở hữu > Số cuối năm,Số lượng cổ phần sở hữu > Số đầu năm,Tỷ lệ sở hữu đồng thời là tỷ lệ biểu quyết (%) > Số cuối năm,Tỷ lệ sở hữu đồng thời là tỷ lệ biểu quyết (%) > Số đầu năm,numeric__Số lượng cổ phần sở hữu > Số cuối năm,numeric__Số lượng cổ phần sở hữu > Số đầu năm,numeric__Tỷ lệ sở hữu đồng thời là tỷ lệ biểu quyết (%) > Số cuối năm,numeric__Tỷ lệ sở hữu đồng thời là tỷ lệ biểu quyết (%) > Số đầu năm
Cienco 5 (i),Cienco 5 (i),Cienco 5 (i),-,16.980.520,-,"38,68%",,16980520.0,,0.3868
Công ty Đại Đông Á (ii),Công ty Đại Đông Á (ii),Công ty Đại Đông Á (ii),-,560.000,-,35%,,560000.0,,0.35
Công ty TNHH BT Hà Đông (*),Công ty TNHH BT Hà Đông (*),Công ty TNHH BT Hà Đông (*),(*),(*),50%,50%,,,0.5,0.5
