row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Đơn vị tính: VNDTổng cộng,numeric__Quyềnsử dụng đất,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,39.962.576.610,355.050.180.891,54.466.499.880,449.479.257.381,39962576610.0,355050180891.0,54466499880.0,449479257381.0
Tăng trong kỳ,Nguyên giá: > Tăng trong kỳ,Tăng trong kỳ,17.506.192.743,147.046.099.784,9.244.897.216,173.797.189.743,17506192743.0,147046099784.0,9244897216.0,173797189743.0
Giảm khác,Nguyên giá: > Giảm khác,Giảm khác,(465.465.179),(4.117.687.407),(126.001.239),(4.709.153.825),-465465179.0,-4117687407.0,-126001239.0,-4709153825.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,57.003.304.174,497.978.593.268,63.585.395.857,618.567.293.299,57003304174.0,497978593268.0,63585395857.0,618567293299.0
Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,-,-,-,,,,
Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,Hao mòn lũy kế:,,,,
Số đầu năm,Hao mòn lũy kế: > Số đầu năm,Số đầu năm,(647.634.029),(7.735.887.690),(3.299.547.506),(11.683.069.225),-647634029.0,-7735887690.0,-3299547506.0,-11683069225.0
Khẩu hao trongnăm,Hao mòn lũy kế: > Khẩu hao trongnăm,Khẩu hao trongnăm,(873.866.396),(8.107.330.508),(2.031.830.724),(11.013.027.628),-873866396.0,-8107330508.0,-2031830724.0,-11013027628.0
Giảm khác,Hao mòn lũy kế: > Giảm khác,Giảm khác,52.162.664,623.074.901,265.756.862,940.994.427,52162664.0,623074901.0,265756862.0,940994427.0
Số cuối năm,Hao mòn lũy kế: > Số cuối năm,Số cuối năm,(1.469.337.761),(15.220.143.297),(5.065.621.368),(21.755.102.426),-1469337761.0,-15220143297.0,-5065621368.0,-21755102426.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,39.314.942.581,347.314.293.201,51.166.952.374,437.796.188.156,39314942581.0,347314293201.0,51166952374.0,437796188156.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,55.533.966.413,482.758.449.971,58.519.774.489,596.812.190.873,55533966413.0,482758449971.0,58519774489.0,596812190873.0
