row_label_raw,row_label_full,Tên đơn vị,Số lượng cổ phần sở hữu > Số cuối năm,Số lượng cổ phần sở hữu > Số đầu năm,"Tỷ lệ sở hữu, đồng thời là tỷ lệ biểu quyết (%) > Số cuối năm","Tỷ lệ sở hữu, đồng thời là tỷ lệ biểu quyết (%) > Số đầu năm",numeric__Số lượng cổ phần sở hữu > Số cuối năm,numeric__Số lượng cổ phần sở hữu > Số đầu năm,"numeric__Tỷ lệ sở hữu, đồng thời là tỷ lệ biểu quyết (%) > Số cuối năm","numeric__Tỷ lệ sở hữu, đồng thời là tỷ lệ biểu quyết (%) > Số đầu năm"
Công ty Hải Phát Thủ Đỏ,Công ty Hải Phát Thủ Đỏ,Công ty Hải Phát Thủ Đỏ,16.008.000,11.008.000,"17,79","13,76",16008000.0,11008000.0,17.79,13.76
Cienco 5,Cienco 5,Cienco 5,8.354.500,-,"15,50",-,8354500.0,,15.5,
Công ty Đường sắt (i),Công ty Đường sắt (i),Công ty Đường sắt (i),-,500.000,-,"10,00",,500000.0,,10.0
