row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty Châu Sơn,Công ty Châu Sơn,Công ty Châu Sơn,Công ty con gián tiếp,Phải thu từ chuyển nhượng bất động sản,-,15.073.137.151,,,,15073137151.0
Công ty Châu Sơn,Công ty Châu Sơn,Công ty Châu Sơn,Công ty con gián tiếp,Phải thu chi phí gửi xe,354.597.725,-,,,354597725.0,
Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty TNHH Một thành viên Bea Leasing,Công ty có chung thành viên quản lý chủ chốt đến ngày 16 tháng 4 năm 2020,Phải thu từ chuyển nhượng bất động sản,-,4.731.956.266,,,,4731956266.0
Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty Đại Đông Á,Công ty liên kết,Phải thu từ cho thuê,-,284.982.462,,,,284982462.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,354.597.725,20.090.075.879,,,354597725.0,20090075879.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),,,,
Công ty PSP,Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > Công ty PSP,Công ty PSP,Công ty con gián tiếp,Trả trước phí dịch vụ,-,28.520.000,,,,28520000.0
TỔNG CỘNG,Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2) > TỔNG CỘNG,TỔNG CỘNG,,,-,28.520.000,,,,28520000.0
