row_label_raw,row_label_full,Dự án Tây Nam – An Khánh,Số cuối năm > 2.710.530.145,Đơn vị tính: VND > Số đầu năm > 2.710.530.145,numeric__Số cuối năm > 2.710.530.145,numeric__Đơn vị tính: VND > Số đầu năm > 2.710.530.145
Dự án An Bình Cần Thơ,Dự án An Bình Cần Thơ,Dự án An Bình Cần Thơ,4.495.952.524,3.193.282.328,4495952524.0,3193282328.0
Các dự án khác,Các dự án khác,Các dự án khác,1.328.711.084,795.181.797,1328711084.0,795181797.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,8.535.193.753,6.698.994.270,8535193753.0,6698994270.0
