row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi số,Đơn vị tính: VND > Số đầu năm > Giá gốc,Đơn vị tính: VND > Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi số,numeric__Đơn vị tính: VND > Số đầu năm > Giá gốc,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị ghi số
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,262.469.803.286,262.469.803.286,198.860.589.235,198.860.589.235,262469803286.0,262469803286.0,198860589235.0,198860589235.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,262.469.803.286,262.469.803.286,198.860.589.235,198.860.589.235,262469803286.0,262469803286.0,198860589235.0,198860589235.0
