row_label_raw,row_label_full,Tên đơn vị,Tỷ lệ sở hữu đồng thời làtỷ lệ biểu quyết (%) > Số cuối năm,Tỷ lệ sở hữu đồng thời làtỷ lệ biểu quyết (%) > Số đầu năm,numeric__Tỷ lệ sở hữu đồng thời làtỷ lệ biểu quyết (%) > Số cuối năm,numeric__Tỷ lệ sở hữu đồng thời làtỷ lệ biểu quyết (%) > Số đầu năm
Công ty Châu Sơn (i),Công ty Châu Sơn (i),Công ty Châu Sơn (i),-,100,,100.0
Công ty ĐT và KD BDS Hải Phát (ii),Công ty ĐT và KD BDS Hải Phát (ii),Công ty ĐT và KD BDS Hải Phát (ii),"75,78","95,78",75.78,95.78
Công ty Hải Phát – Bình Thuận,Công ty Hải Phát – Bình Thuận,Công ty Hải Phát – Bình Thuận,100,100,100.0,100.0
Công ty HPH Nha Trang,Công ty HPH Nha Trang,Công ty HPH Nha Trang,78,78,78.0,78.0
Công ty IWG (iii),Công ty IWG (iii),Công ty IWG (iii),-,"50,5",,50.5
Công ty Ruby,Công ty Ruby,Công ty Ruby,100,-,100.0,
Công ty Heritage,Công ty Heritage,Công ty Heritage,100,-,100.0,
Công ty Sapphire (iv),Công ty Sapphire (iv),Công ty Sapphire (iv),100,-,100.0,
Công ty Topaz (iv),Công ty Topaz (iv),Công ty Topaz (iv),100,-,100.0,
Công ty Diamond IC (iv),Công ty Diamond IC (iv),Công ty Diamond IC (iv),100,-,100.0,
