row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 41.826.045.665,Số phải nộp trong năm > 62.621.311.905,Số đã nộp/cấn trừ trong năm > 103.944.140.587,Đơn vị tính: VND > Số cuối năm > 503.216.983,numeric__Số đầu năm > 41.826.045.665,numeric__Số phải nộp trong năm > 62.621.311.905,numeric__Số đã nộp/cấn trừ trong năm > 103.944.140.587,numeric__Đơn vị tính: VND > Số cuối năm > 503.216.983
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,116.121.195.241,48.984.488.595,110.211.192.224,54.894.491.612,116121195241.0,48984488595.0,110211192224.0,54894491612.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,669.211.427,9.757.838.200,8.804.820.706,1.622.228.921,669211427.0,9757838200.0,8804820706.0,1622228921.0
Thuế và các khoản phải nộp Nhà nước khác,Thuế và các khoản phải nộp Nhà nước khác,Thuế và các khoản phải nộp Nhà nước khác,-,6.246.877.593,6.246.877.593,-,,6246877593.0,6246877593.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,158.616.452.333,127.610.516.293,229.207.031.110,57.019.937.516,158616452333.0,127610516293.0,229207031110.0,57019937516.0
