row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng liên quan đến các căn hộ chưa bàn giao,Ngắn hạn > Chi phí bán hàng liên quan đến các căn hộ chưa bàn giao,Chi phí bán hàng liên quan đến các căn hộ chưa bàn giao,1.903.505.213,17.619.099.763,1903505213.0,17619099763.0
"Thuế TNDN tạm tính cho các khoản thanh toán trước tiền mua căn hộ, biết thực của khách hàng","Ngắn hạn > Thuế TNDN tạm tính cho các khoản thanh toán trước tiền mua căn hộ, biết thực của khách hàng","Thuế TNDN tạm tính cho các khoản thanh toán trước tiền mua căn hộ, biết thực của khách hàng",2.782.826.890,3.519.138.886,2782826890.0,3519138886.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,4.686.332.103,21.138.238.649,4686332103.0,21138238649.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí sửa chữa lớn,Dài hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,6.323.016.707,8.946.482.991,6323016707.0,8946482991.0
Chi phí thuê mặt bằng,Dài hạn > Chi phí thuê mặt bằng,Chi phí thuê mặt bằng,5.468.088.158,-,5468088158.0,
Chi phí bảo trì phần mềm trả trước,Dài hạn > Chi phí bảo trì phần mềm trả trước,Chi phí bảo trì phần mềm trả trước,957.499.996,2.234.166.665,957499996.0,2234166665.0
"Công cụ, dụng cụ","Dài hạn > Công cụ, dụng cụ","Công cụ, dụng cụ",595.130.610,1.638.553.610,595130610.0,1638553610.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,13.343.735.471,12.819.203.266,13343735471.0,12819203266.0
