row_label_raw,row_label_full,Năm trước > Số đầu năm > - Lợi nhuận thuần trong năm,Vốn cổ phần > 1.999.963.050.000 > -,Thặng dư vốn cổ phần > 60.986.800.000 > -,Lợi nhuận sau thuế chưa phân phối > 492.185.889.678 > 306.331.722.077,Đơn vị tính: VND Tổng cộng > 2.553.135.739.678 > 306.331.722.077,numeric__Vốn cổ phần > 1.999.963.050.000 > -,numeric__Thặng dư vốn cổ phần > 60.986.800.000 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 492.185.889.678 > 306.331.722.077,numeric__Đơn vị tính: VND Tổng cộng > 2.553.135.739.678 > 306.331.722.077
- Trích quỹ phúc lợi,- Trích quỹ phúc lợi,- Trích quỹ phúc lợi,-,-,(11.941.116.131),(11.941.116.131),,,-11941116131.0,-11941116131.0
- Thù lao HĐQT,- Thù lao HĐQT,- Thù lao HĐQT,-,-,(7.868.905.000),(7.868.905.000),,,-7868905000.0,-7868905000.0
Số cuối năm,Số cuối năm,Số cuối năm,1.999.963.050.000,60.986.800.000,778.707.590.624,2.839.657.440.624,1999963050000.0,60986800000.0,778707590624.0,2839657440624.0
Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,1.999.963.050.000,60.986.800.000,778.707.590.624,2.839.657.440.624,1999963050000.0,60986800000.0,778707590624.0,2839657440624.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,338.206.357.389,338.206.357.389,,,338206357389.0,338206357389.0
- Trích quỹ phúc lợi (*),Năm nay > - Trích quỹ phúc lợi (*),- Trích quỹ phúc lợi (*),-,-,(19.148.623.225),(19.148.623.225),,,-19148623225.0,-19148623225.0
- Cổ tức bằng cổ phiếu,Năm nay > - Cổ tức bằng cổ phiếu,- Cổ tức bằng cổ phiếu,644.982.770.000,-,(644.982.770.000),-,644982770000.0,,-644982770000.0,
- Thù lao HĐQT (*),Năm nay > - Thù lao HĐQT (*),- Thù lao HĐQT (*),-,-,(6.033.368.455),(6.033.368.455),,,-6033368455.0,-6033368455.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,2.644.945.820.000,60.986.800.000,446.749.186.333,3.152.681.806.333,2644945820000.0,60986800000.0,446749186333.0,3152681806333.0
