row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Ngân hàng TNHH IndovinaTrong đó:Trái phiếu dài hạn đến hạn trả > Công ty Cổ phần Chứng khoán MBTrong đó:Trái phiếu dài hạn đến hạn trả,Số cuối năm (VND) > 500.000.000.000 > 4.683.400.000,Kỳ hạn trả gốc và lãi > Gốc được trả một lần vào ngày đáo hạn cho từng khoản giải ngân là ngày 1 tháng 12 năm 2021 và ngày 1 tháng 12 năm 2022. Lãi vay được trả 6 tháng/lần. > Gốc được trả một lần vào ngày đáo hạn là ngày 26 tháng 1 năm 2021. Lãi vay được trả 6 tháng/lần.,"Lãi suất > 8,8% > 10,1-10,83%",Tài sản đảm bảo > (v) > (vi),numeric__Số cuối năm (VND) > 500.000.000.000 > 4.683.400.000,numeric__Kỳ hạn trả gốc và lãi > Gốc được trả một lần vào ngày đáo hạn cho từng khoản giải ngân là ngày 1 tháng 12 năm 2021 và ngày 1 tháng 12 năm 2022. Lãi vay được trả 6 tháng/lần. > Gốc được trả một lần vào ngày đáo hạn là ngày 26 tháng 1 năm 2021. Lãi vay được trả 6 tháng/lần.,"numeric__Lãi suất > 8,8% > 10,1-10,83%",numeric__Tài sản đảm bảo > (v) > (vi)
Công ty Cổ phần Chứng khoán MBTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần Chứng khoán MBTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần Chứng khoán MBTrong đó:Trái phiếu dài hạn đến hạn trả,4.683.400.000,,,,4683400000.0,,,
Công ty Cổ phần Chứng Khoán Smart InvestTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần Chứng Khoán Smart InvestTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần Chứng Khoán Smart InvestTrong đó:Trái phiếu dài hạn đến hạn trả,298.678.796.719,Gốc được trả một lần vào ngày đáo hạn là ngày 31 tháng 12 năm 2021. Lãi vay được trả 6 tháng/lần.,"10,5%",(vii),298678796719.0,,0.105,
Công ty Cổ phần Chứng Khoán Smart InvestTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần Chứng Khoán Smart InvestTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần Chứng Khoán Smart InvestTrong đó:Trái phiếu dài hạn đến hạn trả,298.678.796.719,,,,298678796719.0,,,
Công ty Cổ phần chứng khoán Dầu KhíTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần chứng khoán Dầu KhíTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần chứng khoán Dầu KhíTrong đó:Trái phiếu dài hạn đến hạn trả,163.385.148.307,Gốc được trả một lần vào ngày đáo hạn là ngày 28 tháng 5 năm 2021. Lãi vay được trả 6 tháng/lần.,11%,(viii),163385148307.0,,0.11,
Công ty Cổ phần chứng khoán Dầu KhíTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần chứng khoán Dầu KhíTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần chứng khoán Dầu KhíTrong đó:Trái phiếu dài hạn đến hạn trả,163.385.148.307,,,,163385148307.0,,,
Công ty Cổ phần chứng khoán MBTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần chứng khoán MBTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần chứng khoán MBTrong đó:Trái phiếu dài hạn đến hạn trả,198.157.396.484,Gốc được trả một lần vào ngày đáo hạn là ngày 26 tháng 12 năm 2021. Lãi vay được trả 6 tháng/lần.,11%,(ix),198157396484.0,,0.11,
Công ty Cổ phần chứng khoán MBTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần chứng khoán MBTrong đó:Trái phiếu dài hạn đến hạn trả,Công ty Cổ phần chứng khoán MBTrong đó:Trái phiếu dài hạn đến hạn trả,198.157.396.484,,,,198157396484.0,,,
Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam,Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam,Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam,177.754.931.507,Gốc được trả một lần vào ngày đáo hạn là ngày 31 tháng 8 năm 2022. Lãi vay được trả 6 tháng/lần.,10%,(x),177754931507.0,,0.1,
Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam,Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam,Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam,98.452.739.726,Gốc được trả một lần vào ngày đáo hạn là ngày 31 tháng 8 năm 2022. Lãi vay được trả 6 tháng/lần.,10%,(xi),98452739726.0,,0.1,
Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam,Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam,Công ty Cổ phần Chứng khoán Ngân hàngCông thương Việt Nam,118.803.287.671,Gốc được trả một lần vào ngày đáo hạn là ngày 31 tháng 8 năm 2022. Lãi vay được trả 6 tháng/lần.,10%,(xii),118803287671.0,,0.1,
