row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,
Vay ngân hàng,Vay ngắn hạn > Vay ngân hàng,Vay ngân hàng,23.1,183.570.992.059,183.570.992.059,282.247.934.630,196.435.911.663,269.383.015.026,269.383.015.026,231.0,183570992059.0,183570992059.0,282247934630.0,196435911663.0,269383015026.0,269383015026.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
ngân hàng đến hạn trả,Vay dài hạn > ngân hàng đến hạn trả,ngân hàng đến hạn trả,23.1,92.659.911.111,92.659.911.111,38.419.927.047,87.200.000.000,43.879.838.158,43.879.838.158,231.0,92659911111.0,92659911111.0,38419927047.0,87200000000.0,43879838158.0,43879838158.0
Trái phiếu dài hạn đến hạn trả,Vay dài hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,23.2,592.628.666.041,592.628.666.041,1.007.592.675.469,735.316.600.000,864.904.741.510,864.904.741.510,232.0,592628666041.0,592628666041.0,1007592675469.0,735316600000.0,864904741510.0,864904741510.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,868.859.569.211,868.859.569.211,1.328.260.537.146,1.018.952.511.663,1.178.167.594.694,1.178.167.594.694,,868859569211.0,868859569211.0,1328260537146.0,1018952511663.0,1178167594694.0,1178167594694.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,23.1,45.479.288.889,45.479.288.889,114.681.476.315,38.419.927.047,121.740.838.157,121.740.838.157,231.0,45479288889.0,45479288889.0,114681476315.0,38419927047.0,121740838157.0,121740838157.0
Trái phiếu,Vay dài hạn > Trái phiếu,Trái phiếu,23.2,1.096.719.525.604,1.096.719.525.604,603.918.987.403,1.005.627.554.103,695.010.958.904,695.010.958.904,232.0,1096719525604.0,1096719525604.0,603918987403.0,1005627554103.0,695010958904.0,695010958904.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,1.142.198.814.493,1.142.198.814.493,718.600.463.718,1.044.047.481.150,816.751.797.061,816.751.797.061,,1142198814493.0,1142198814493.0,718600463718.0,1044047481150.0,816751797061.0,816751797061.0
